# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
       eso_130_08  8.414   0.036    7.7    0.016  8.061  0.023 0.044   0.002 0.113     0.005 -52077.686    147.055 0.153  0.001 0.206  0.001 0.077    0.0 1936.361   4.768   36.748  908.621 -107800.596      12.65
       eso_130_13  8.027   1.457  6.671    1.216  7.316  1.189  0.14   0.084 0.157     0.022 -57244.917   8068.443 0.136  0.026 0.185  0.033 0.069  0.015 1757.974 264.188   24.077  844.323  -107563.25    984.782
       eso_166_04  8.338   0.002  7.948    0.022  8.144  0.011 0.024   0.001 0.071     0.005 -51538.468     71.178 0.155    0.0 0.208    0.0 0.077    0.0 1957.699   2.521    7.016  929.496 -107875.968      2.564
       eso_211_03    9.8   0.175  8.334    0.226  9.086  0.196 0.082   0.006 0.361     0.037 -45933.197   1079.941 0.176  0.004 0.235  0.006 0.101  0.004 2139.474  42.107  111.937  964.506 -107500.371    138.845
       eso_211_09 23.426    13.7 12.912    1.427 18.384 13.755  0.29    0.13 0.406     0.563 -13580.926  13376.974 0.386  0.194 0.516  0.268  0.25  0.208 3718.307 775.964  133.273 1812.909 -120522.818   9027.894
       eso_226_06  6.333   0.059  5.282    0.126   5.73  0.084  0.09   0.007  0.03     0.003 -71123.186    871.726 0.102  0.002 0.143  0.002  0.05  0.001 1393.932  21.999    6.802  656.352 -111233.073    239.048
       eso_311_21 12.731   0.416   9.73    0.109 11.277  0.252 0.134   0.013 0.618     0.048 -35398.962   1054.824 0.225  0.006   0.3  0.008  0.15  0.007 2559.626  42.847   42.312 1238.918 -109042.113    211.399
       eso_312_04 10.069   0.538  8.815    0.951  9.472   0.74 0.067   0.034 0.113     0.024 -43847.412   3710.384 0.185  0.017 0.246  0.021 0.094  0.011 2231.098 160.992     9.44 1069.695 -108069.053    929.437
       eso_368_11 10.327   0.133   8.46    0.049  9.411  0.087 0.099   0.005  0.23     0.014 -44171.323    461.855 0.183  0.002 0.244  0.003 0.098  0.002  2206.06  16.478   20.356  1056.76 -107659.127     32.549
       eso_368_14 11.049    0.93 10.049    0.307 10.527  0.615 0.047   0.026 0.248     0.046 -38686.361   2747.597 0.208  0.014 0.277  0.018 0.116  0.012 2452.326 117.719   24.515 1175.255 -109255.314    643.895
       eso_371_25 12.058   0.501  9.078    0.342 10.611  0.412 0.142    0.01 0.615     0.054 -38302.908   1845.653  0.21  0.009  0.28  0.012 0.139   0.01 2417.963  80.657   91.429  1146.38 -107902.774     504.26
       eso_518_03  7.962   0.063  6.085     0.06  7.058  0.059 0.134   0.002 0.452     0.018 -59205.676    462.674 0.131  0.001 0.179  0.002 0.077    0.0 1673.444  14.812   93.427  790.947 -107360.216      47.56
       eso_559_13  9.946   0.117  9.103    0.154  9.527   0.13 0.045   0.005 0.042     0.009 -43564.711    676.192 0.186  0.003 0.247  0.004 0.093  0.002  2249.48  27.692    4.077 1064.014 -108306.169    122.134
       ferrero_11  9.197   0.104  8.666    0.032  8.939  0.059  0.03   0.005 0.213     0.013 -46751.453    335.677 0.173  0.001 0.231  0.002 0.092  0.001 2124.578  12.118  116.813  969.331 -107886.494     19.871
         fsr_0850 10.349   0.058  9.384    0.065  9.872  0.041 0.049   0.005 0.088     0.011 -41805.213    201.601 0.194  0.001 0.257  0.001 0.099  0.001 2320.316   8.638     9.96 1102.264 -108582.005      53.36
         fsr_0852 11.896   0.187 10.511     0.17 10.953  0.156 0.062   0.003 0.022     0.011 -36782.013    676.996 0.218  0.004 0.289  0.005 0.112  0.002 2532.329  31.105    4.202 1194.441 -109655.459    218.693
         fsr_0866 11.677   0.164  8.419    0.103 10.103  0.094 0.162   0.009 0.768     0.055 -40677.554    455.143 0.198  0.002 0.265  0.003 0.138  0.003 2294.457  17.532  -82.177 1167.295 -106719.491    191.282
         fsr_0883 10.896   0.138 10.677    0.122 10.649  0.109  0.01   0.003 0.129     0.018 -38128.503    491.547 0.211  0.002  0.28  0.003 0.111  0.002 2484.432  22.257  -11.933  1191.65 -109623.958    149.664
         fsr_0893 10.366   0.023  8.901    0.048  9.643  0.033 0.076   0.002 0.148     0.011 -42964.211    168.807 0.188  0.001 0.251  0.001 0.098  0.001 2264.776   7.332   68.579 1056.315 -108139.119      44.27
         fsr_0904 10.515   0.112 10.179    0.095 10.631  0.109 0.016   0.002 0.024     0.019 -38210.065    490.697 0.211  0.002  0.28  0.003 0.107  0.002 2477.535  21.705   12.734 1165.539 -109500.636    136.579
         fsr_0905  9.978    0.05  8.414    0.049  9.208  0.026 0.085   0.005 0.231     0.008  -45262.48    139.773 0.179  0.001 0.238  0.001 0.096  0.001 2168.491   5.574  -43.823 1049.981 -107670.346     50.194
         fsr_0921 10.843   0.185 10.418    0.202 10.638  0.175 0.019   0.008 0.078     0.022 -38181.547    785.645 0.211  0.004  0.28  0.005 0.109  0.003 2483.052  35.796   22.087 1161.941 -109628.443    245.699
         fsr_0923   11.1   0.109  9.456    0.088 10.288  0.096  0.08   0.002 0.188     0.015 -39793.178     453.44 0.203  0.002  0.27  0.003 0.108  0.002 2396.403  19.611    -4.72 1156.468  -108755.84    112.682
         fsr_0935 10.897   0.102 10.716    0.125 10.812  0.109 0.009   0.003 0.243     0.008 -37404.292    480.813 0.215  0.002 0.285  0.003  0.12  0.002 2516.116  22.206  -32.126 1207.451 -109811.353    158.283
         fsr_0937 15.305   0.434 12.807    0.219 14.078  0.317 0.089   0.008 0.374     0.073 -25193.936   1006.767 0.289  0.007 0.383   0.01  0.18  0.009 3151.162  59.469    0.103 1528.834 -115881.159    708.004
         fsr_0941 13.525   0.541 11.843    0.367 12.678  0.304 0.064   0.027 0.596      0.07 -29945.763   1087.331 0.257  0.007 0.341  0.009 0.174  0.008 2875.536  57.289  -43.488  1430.89 -112699.907    627.757
         fsr_0942 13.332   0.314 11.283     0.15 12.317  0.224 0.083   0.007 0.177     0.012 -31278.004    838.231 0.249  0.005  0.33  0.007 0.137  0.004  2807.22   42.43   38.014 1316.053 -112057.586    386.058
         fsr_0948 13.951    0.64 11.628    0.506 12.804  0.562 0.091   0.009 0.236      0.03 -29490.894   1988.005  0.26  0.013 0.345  0.017 0.148   0.01 2899.827 110.975    -42.6 1399.267 -112948.217   1212.039
         fsr_0951 10.921   0.077  9.505     0.09 10.222  0.063 0.069   0.005 0.168     0.013  -40105.43     297.28 0.201  0.001 0.268  0.002 0.106  0.001 2386.633  13.364  -14.493 1150.255 -108782.533     96.177
         fsr_0953 11.314   0.149  9.181    0.114  10.26  0.095 0.105   0.009 0.237      0.04 -39927.081    448.572 0.202  0.002 0.269  0.003 0.111  0.003 2379.406  18.786  130.402 1090.998 -108421.895    144.905
         fsr_0974 11.158   0.251 10.735    0.307 11.434  0.298 0.019   0.003 0.119     0.009 -34748.451   1221.306 0.229  0.007 0.303  0.009 0.121  0.005 2637.893  60.971   -2.695 1252.436  -110657.23    534.243
         fsr_0977 10.504   0.122  9.603    0.077 10.059  0.086 0.045   0.005 0.142     0.012 -40886.934    418.593 0.198  0.002 0.263  0.003 0.103  0.001 2359.158  17.457  -21.912 1133.975 -108773.663     87.228
         fsr_0979 10.466   0.151  8.992    0.089  9.737  0.092 0.076   0.008 0.071     0.015 -42486.542    463.184  0.19  0.002 0.254  0.003 0.096  0.001 2285.741   17.98   25.586 1074.153 -108260.462     84.997
         fsr_1025 13.663   0.357 11.323    0.559 12.527  0.426 0.093   0.017 0.451     0.081 -30497.677   1553.043 0.253   0.01 0.337  0.013 0.161  0.012 2837.801  89.761  -86.065 1394.386 -112173.021   1041.592
         fsr_1051 10.528   0.163   8.54     0.11   9.55  0.105 0.104   0.009 0.257     0.039 -43442.101     543.11 0.186  0.002 0.248  0.003 0.102  0.003 2232.685  20.382  131.167 1025.356 -107693.232    130.741
         fsr_1063 10.452   0.133  8.309    0.111  9.409  0.107 0.114   0.005 0.137     0.015 -44183.412    565.578 0.183  0.002 0.244  0.003 0.095  0.002 2200.945  22.425   39.848 1021.088 -107526.879    103.169
         fsr_1083 13.194   0.208 10.213    0.304 11.741  0.212 0.127   0.014 0.911     0.057 -33502.714    845.126 0.236  0.005 0.314  0.006 0.176  0.006 2646.307   46.88 -158.814 1329.149  -109649.56     534.35
         fsr_1085  9.837    0.06  9.472    0.108  9.654  0.076 0.019   0.005 0.047     0.006 -42906.178    386.476 0.189  0.002 0.251  0.002 0.095  0.001 2279.615  16.044  -10.121 1080.834 -108505.086     75.589
         fsr_1113 15.545   0.649 12.021    0.204 13.825  0.424 0.128   0.014 0.695     0.086 -26010.953   1375.202 0.283   0.01 0.376  0.013   0.2  0.012  3069.85  73.467 -118.729 1525.524 -114326.292    745.118
         fsr_1125 14.436   1.498 12.387    0.641 13.337  1.048 0.076   0.025 0.364     0.105 -27632.332   3447.839 0.272  0.024 0.361  0.032 0.167  0.025 3007.534 192.099   10.263 1463.852 -114184.117   2090.648
         fsr_1150 11.565    0.19  7.896    0.314  9.777  0.219 0.189   0.016 0.034      0.01  -42282.31   1098.458 0.191  0.005 0.255  0.006 0.097  0.003 2230.689  53.754     -2.3 1055.718 -106540.585    502.936
         fsr_1163 12.908   0.623  9.728    0.093 11.343  0.311  0.14   0.025 0.323     0.035 -35123.226   1287.163 0.226  0.007 0.301  0.009  0.13  0.006 2578.968  46.185     -6.6 1255.589  -109314.28    152.663
         fsr_1170 10.604    0.34  9.267    0.198  9.934  0.262 0.067   0.008 0.025     0.019 -41501.479   1280.982 0.195  0.006 0.259  0.008 0.098  0.004 2329.895  52.571   12.343 1097.877 -108538.676    238.071
         fsr_1171 12.514   0.436  8.905    0.221 10.749  0.283 0.167   0.017 0.164     0.023 -37680.829   1257.179 0.213  0.006 0.283  0.008 0.112  0.005 2443.495  51.945   30.533 1149.056 -107996.123    386.348
         fsr_1180 11.483   0.215 10.638    0.134 11.065  0.171 0.039   0.004 0.135     0.011 -36298.695    733.083  0.22  0.004 0.293  0.005 0.117  0.003 2567.606  34.345  -31.586 1230.531 -110189.415    255.725
         fsr_1183 10.275   0.125  9.142    0.275  9.715  0.188 0.059   0.011  0.05      0.01 -42598.537     953.98  0.19  0.004 0.253  0.005 0.096  0.002 2285.778  41.425   -0.641 1080.828 -108375.723    241.271
         fsr_1252 11.728   0.229 10.421    0.098 11.083  0.161 0.059   0.006 0.099     0.012 -36222.378    689.989 0.221  0.004 0.293  0.005 0.115  0.002 2566.996  31.411    7.271  1217.78 -110097.414    214.707
         fsr_1253 10.936   0.147  8.699    0.289  9.836  0.214 0.114    0.01 0.155     0.031 -41988.146   1067.018 0.193  0.005 0.257  0.006 0.101  0.004 2290.029  48.463   84.939 1054.739 -107891.037    329.927
         fsr_1260 11.982    0.46 10.029     0.13 11.019  0.297 0.089   0.013  0.15      0.03 -36498.251   1271.168 0.219  0.007 0.291  0.009 0.116  0.005 2543.002  54.612   77.934 1177.588 -109682.628     301.99
         fsr_1284 10.229    0.12  8.804    0.082  9.526  0.099 0.075   0.002  0.19     0.009 -43569.098    517.423 0.186  0.002 0.248  0.003 0.098  0.002 2239.755  20.206   39.119 1050.782  -108022.54     66.612
         fsr_1315 11.329   0.696 10.436    0.356 10.886  0.497 0.045    0.02 0.038     0.021 -37075.012   2172.685 0.216  0.011 0.287  0.015 0.111  0.007 2531.332  97.841   20.291 1188.689 -109928.584    646.136
         fsr_1335 11.422   0.327 10.968     0.46 11.744  0.813  0.02   0.007 0.283     0.023 -33493.685   3163.343 0.236  0.018 0.313  0.024 0.137  0.016 2693.784 156.669     26.3 1288.074 -111019.814   1348.572
         fsr_1361  9.395   0.039  7.549    0.108  8.487  0.072 0.109   0.005 0.178     0.006 -49405.267    437.949 0.162  0.002 0.218  0.002 0.084  0.001 2009.035  17.239    35.92  941.808 -107214.134     59.658
         fsr_1378 11.856   0.119  8.267    0.017 10.105  0.065 0.178   0.005 0.326     0.015 -40666.742    313.486 0.198  0.001 0.265  0.002 0.111  0.001  2302.08   9.731    6.787 1119.093 -106909.696     49.005
         fsr_1402  9.715   0.115  7.184    0.196  8.488   0.15 0.149   0.009 0.522     0.045 -49398.099    906.463 0.162  0.003 0.219  0.004   0.1  0.004 1976.032  34.245  156.084  906.788  -106269.14    113.132
         fsr_1407 13.606   0.445  9.241    0.048 11.498  0.252 0.191   0.014  1.23     0.075 -34484.364   1025.853  0.23  0.006 0.308  0.008 0.184  0.007  2537.78  36.375 -145.238 1292.607 -107526.086     48.557
         fsr_1435  9.354   0.243  8.176    0.227   8.77  0.223 0.068   0.009 0.117     0.038 -47725.388   1274.433 0.169  0.005 0.226  0.006 0.086  0.004 2083.211  46.976   54.274  972.631   -107699.5    103.169
         fsr_1452  9.094   0.049  8.501    0.042  8.798  0.041 0.034   0.002 0.079     0.011 -47558.282    234.496 0.169  0.001 0.227  0.001 0.085  0.001 2097.058   8.538   34.005  975.723 -107908.802     14.849
         fsr_1509  8.959   0.129  8.642    0.033  8.141  0.434 0.018   0.007 0.049     0.013  -51563.03    2754.59 0.155   0.01 0.208  0.012 0.077  0.005 1935.618 102.324   18.388   911.05 -107237.292     240.21
         fsr_1586  7.866   0.041  7.042    0.088  7.455  0.054 0.055   0.006 0.038      0.01 -56228.327    391.131 0.139  0.001 0.189  0.001 0.068  0.001 1802.607  12.844   11.754  847.753 -108102.798     31.669
         fsr_1591  9.748   0.849  7.551    0.104  8.664  0.468 0.126   0.038 0.086      0.02 -48343.822   2731.051 0.166   0.01 0.223  0.013 0.083  0.006 2040.298  79.407   -7.402  976.686 -107091.887    464.565
         fsr_1595  7.611   0.066  7.279    0.158  7.445   0.11 0.022   0.007  0.04     0.007 -56300.445    783.698 0.139  0.002 0.189  0.003 0.068  0.001 1804.731   24.69    8.992  852.304 -108235.504     73.388
         fsr_1663  7.161   0.032  6.647      0.1  6.911  0.063 0.037   0.006 0.166     0.007 -60367.502    501.297 0.128  0.001 0.174  0.002 0.065  0.001 1680.329    14.9   79.984  775.325 -108722.463     73.397
         fsr_1750  7.996   1.744  6.687    1.296   7.45  1.423 0.097   0.083 0.092     0.027 -56267.529  14371.913 0.139   0.03 0.189  0.039 0.069  0.014 1791.888 337.597  -14.189    837.7 -107952.942   5174.719
           gaia_1 13.143   0.864 11.492    0.281 12.381  0.472 0.068   0.033 0.806     0.068  -31036.17   1749.458  0.25  0.011 0.333  0.014 0.186  0.012 2806.403  82.801  126.412 1332.858 -111781.203    661.256
         graham_1  7.863   0.018  7.838    0.019  7.455  0.066 0.002     0.0 0.154     0.014 -56232.783    476.788 0.139  0.001 0.189  0.002 0.071  0.001 1799.585  15.836   43.995  835.178 -108020.115     31.584
       gulliver_1  9.697   0.065  7.878    0.013  8.799  0.033 0.103   0.004 0.122     0.002 -47556.614    192.204 0.169  0.001 0.227  0.001 0.086    0.0  2078.65   5.808    2.525  986.072 -107372.378     30.748
      gulliver_10  8.502   0.004  8.485    0.004  7.831   0.01 0.001     0.0 0.014     0.002 -53599.368     67.213 0.148    0.0 0.199    0.0 0.073    0.0 1877.871   2.444   -2.152  892.393 -107639.383      3.999
      gulliver_13  9.548   0.058  8.291    0.142  8.932  0.097 0.071   0.006 0.253     0.024 -46792.935    546.479 0.172  0.002  0.23  0.003 0.094  0.002 2113.578  21.323  135.605  957.377 -107620.935     73.076
      gulliver_14  7.143   0.031   5.81    0.078  6.486  0.053 0.103   0.005 0.102     0.006 -63928.953    466.441 0.118  0.001 0.163  0.001 0.059  0.001 1571.051  13.693   -8.183  758.337 -109136.571     73.679
      gulliver_21  8.747   0.008  7.761    0.045  8.258  0.023  0.06   0.003 0.069     0.003 -50816.902    145.071 0.157  0.001 0.211  0.001 0.078    0.0 1977.004   5.547   12.494  934.191 -107711.233     15.679
      gulliver_27  8.645   0.055   7.72    0.115  8.186  0.081 0.057   0.005 0.031     0.011 -51270.435    516.561 0.156  0.002 0.209  0.002 0.077  0.001 1962.626  18.443    -4.21  930.391 -107747.512     20.621
      gulliver_32 12.031   0.211  9.724    0.084 10.892  0.148 0.106   0.005 0.157     0.012 -37049.254    646.263 0.216  0.003 0.287  0.004 0.114  0.002 2510.072  27.837   -9.827 1205.923 -109284.545    156.447
      gulliver_34  7.874   0.063  5.724     0.19   6.82  0.122 0.158   0.013 0.124     0.009 -61105.441    972.619 0.125  0.003 0.172  0.003 0.063  0.001 1624.086  32.785  -32.689  785.962 -107830.486     63.681
      gulliver_36 10.104   0.044   7.93    0.016  9.033  0.024 0.121   0.002 0.126     0.006 -46223.464    133.444 0.175  0.001 0.233  0.001 0.089    0.0 2120.721   4.292  -14.107 1020.231 -107251.677     24.727
      gulliver_39  9.398   0.026  7.538    0.033   8.48  0.021  0.11   0.003 0.096     0.005 -49446.161    126.535 0.162    0.0 0.218  0.001 0.081    0.0  2008.85   4.936   19.814   946.16 -107254.546     32.238
       gulliver_4  9.482   0.069  8.295    0.196  8.892  0.128 0.066   0.009 0.115      0.01 -47023.017    729.317 0.172  0.003 0.229  0.004 0.087  0.002 2110.195  29.204   37.368  979.435 -107750.191    113.526
      gulliver_44  9.421   0.037  7.985    0.029  8.715  0.024 0.083   0.003 0.183     0.011 -48046.623    140.511 0.168  0.001 0.224  0.001 0.087  0.001 2066.263   4.965  -22.162 1004.254 -107514.619     22.607
      gulliver_45 15.116    0.54   8.24    0.311  11.81  0.427 0.295   0.005  0.61      0.06 -33229.305   1681.969 0.236   0.01 0.315  0.013 0.152   0.01 2504.535  80.622  -72.123 1249.948 -105310.428    657.446
      gulliver_46  7.361   0.059   7.25    0.019  7.476  0.051 0.007   0.003 0.074     0.008 -56078.749    364.413  0.14  0.001 0.189  0.001 0.069  0.001  1810.29  10.804   25.523  849.001 -108174.494     54.253
      gulliver_47 10.056   0.119  9.437    0.227  9.752  0.172 0.032   0.007 0.224     0.027 -42410.062    863.754 0.191  0.004 0.254  0.005 0.103  0.004 2295.139  35.846   65.262   1076.8 -108458.802    168.537
       gulliver_5  8.756    0.02  8.655     0.02  8.419  0.056 0.006   0.001 0.007     0.005 -49816.468    342.105 0.161  0.001 0.216  0.002 0.079  0.001 2014.987  12.604    5.666  948.527  -107799.97     22.183
      gulliver_52  9.325   0.035  7.642    0.037  8.491  0.027 0.099   0.003 0.022      0.01 -49378.237    165.396 0.162  0.001 0.218  0.001  0.08    0.0   2016.1    6.08    11.47  947.583 -107398.459     30.802
      gulliver_56 10.474   0.172  8.961    0.129  9.727  0.075 0.078   0.013 0.242     0.017 -42535.916    380.995  0.19  0.002 0.253  0.002 0.103  0.002 2279.005   14.52    2.839 1086.322 -108128.961    124.227
      gulliver_57  8.408   0.004  7.936    0.042  8.174  0.022 0.029   0.003 0.071     0.004 -51351.554    138.747 0.155    0.0 0.209  0.001 0.077    0.0 1963.603   4.956   21.829  923.403 -107858.377      4.657
      gulliver_58  8.066   0.042  6.428    0.075  7.258  0.051 0.113   0.005 0.071     0.008 -57681.791    385.793 0.135  0.001 0.184  0.001 0.067  0.001 1742.553  12.695  -17.291  831.255 -107829.309     43.526
       gulliver_7  9.575   0.229  7.222    0.449  8.427  0.333  0.14   0.019 0.276     0.024 -49769.061   2011.493 0.161  0.008 0.216  0.009 0.087  0.006 1977.821  79.008     51.2  931.183 -106725.355    272.788
       haffner_10 10.649   0.077  8.332    0.175  9.512  0.121 0.122   0.007 0.127     0.015 -43641.953    629.371 0.185  0.003 0.247  0.003 0.095  0.002 2220.005  28.399  -29.062 1064.866 -107516.039    191.449
       haffner_11 11.983   0.276  10.25    0.318 11.132  0.293 0.079   0.006 0.313     0.029  -36011.86   1241.949 0.222  0.007 0.295  0.009 0.128  0.006 2566.816  60.628   25.857 1229.012 -109869.577    504.377
       haffner_13  8.589   0.004  8.273    0.021  8.333  0.028 0.019   0.001 0.018     0.006 -50351.084    173.049 0.159  0.001 0.213  0.001 0.078    0.0 1996.777   6.414   10.952  938.152 -107813.679     12.691
       haffner_14 10.611   0.104  8.783    0.188  9.708  0.141 0.094   0.007 0.177     0.018 -42631.288    714.402  0.19  0.003 0.253  0.004   0.1  0.002 2271.487  31.249   70.753 1043.185 -108000.596    188.936
       haffner_15  9.879    0.06  9.833     0.05  9.678  0.104 0.002   0.001 0.184     0.006 -42783.393    531.219 0.189  0.002 0.252  0.003   0.1  0.002 2281.985  22.034   39.948 1070.362 -108448.129    103.342
       haffner_16 10.424   0.112 10.078    0.072 10.726  0.173 0.017   0.002  0.09     0.015 -37785.993     773.38 0.213  0.004 0.282  0.005  0.11  0.003 2493.327  33.035   44.758   1165.6 -109539.368    177.954
       haffner_17 10.438   0.314   8.44    0.183  9.454  0.246 0.105   0.006 0.126     0.015 -43942.616   1287.225 0.184  0.006 0.245  0.007 0.094  0.004 2214.691  49.256    8.954 1055.194 -107682.817    141.448
       haffner_18 10.377   0.241 10.246     0.25   9.46  0.444 0.007   0.001 0.083     0.013 -43912.891   2300.434 0.184   0.01 0.246  0.013 0.094  0.007  2208.97 102.925    52.19  1032.66  -107482.45    669.962
       haffner_20 10.458   0.418  9.893    0.505 10.176  0.448 0.031   0.012 0.067      0.02 -40326.393   2108.444   0.2   0.01 0.266  0.013 0.102  0.006 2387.145  93.604   -5.757 1139.993 -109020.356    586.668
       haffner_22 10.688   0.064  9.268    0.039  9.991  0.049 0.071   0.002  0.31     0.012 -41220.548    241.373 0.196  0.001 0.261  0.001 0.111  0.001 2334.123   9.836  -74.711 1144.005 -108390.888      44.64
       haffner_26  9.797   0.077   8.01    0.107  8.918   0.09   0.1   0.003 0.226     0.009 -46874.314    509.566 0.172  0.002  0.23  0.003 0.092  0.001 2102.662  19.884   -56.93 1025.881  -107374.57     66.483
        haffner_3  10.49   0.195  8.869    0.174  9.691  0.179 0.084   0.005 0.191     0.037 -42715.721    905.859 0.189  0.004 0.252  0.005 0.101  0.004 2271.504  36.563   109.49 1044.159 -108079.143    156.751
        haffner_4 11.431   0.274 10.151    0.225 10.798  0.245  0.06   0.005 0.225     0.019 -37463.314   1084.778 0.214  0.006 0.285  0.007 0.118  0.004 2506.206  49.696   29.956 1190.549 -109591.383    347.227
        haffner_5 11.938   0.046   7.33    0.026  9.699  0.026 0.239   0.003 0.124     0.002  -42676.35    133.009 0.189  0.001 0.253  0.001 0.096    0.0 2172.493   4.933   24.805 1017.445 -105191.374      69.04
        haffner_6 12.291   0.916 10.939    0.818 11.526  0.692 0.074   0.045 0.105     0.022 -34370.904    2706.93 0.231  0.016 0.306  0.021 0.122   0.01 2658.559  140.37  -23.326 1274.418 -110892.293   1410.404
        haffner_7  10.83   0.229  9.148    0.548  10.01  0.373 0.084   0.021 0.436     0.035 -41130.066   1808.901 0.197  0.008 0.262  0.011 0.119  0.008 2328.357  82.887   96.506 1080.171 -108159.223    583.053
        haffner_8 10.319    0.09  9.075    0.159  9.705  0.121 0.064   0.005 0.144     0.018 -42646.575    612.646  0.19  0.003 0.253  0.004 0.099  0.002 2280.863  26.063   68.264 1061.762  -108292.51    139.331
       harvard_10  7.766   0.046  7.307    0.067  7.564  0.051 0.032   0.003  0.14     0.008 -55451.044    363.914 0.142  0.001 0.192  0.001 0.072  0.001 1827.909  11.684   91.099  839.083 -108052.992     29.505
       harvard_13  7.269   0.016  5.684    0.051  6.488  0.032 0.122   0.004 0.071     0.004 -63914.574    277.402 0.118  0.001 0.163  0.001 0.058    0.0 1565.481   8.592   27.013  728.361 -108962.203     32.511
       harvard_16  7.276   0.062  6.974    0.028  7.128  0.042 0.021   0.003 0.093     0.008 -58666.849    319.905 0.132  0.001  0.18  0.001 0.066    0.0  1733.01   9.209    2.517  830.809 -108537.161      55.38
          hogg_15  7.252   0.033  7.225    0.035  7.088  0.082 0.002     0.0 0.012     0.003 -58976.399     638.52 0.131  0.002 0.179  0.002 0.064  0.001 1723.234  19.315    9.354  810.015 -108572.851     83.359
          hogg_17  7.305   0.476  7.009    0.262  7.182  0.321 0.032   0.028 0.063     0.011 -58254.911    2408.96 0.133  0.007 0.181  0.009 0.066  0.004 1745.546  68.755   -6.446  835.739 -108492.477    437.286
          hogg_21  6.322   0.233  6.035    0.129  6.251  0.241 0.024   0.021 0.045     0.003 -66040.508   2195.371 0.113  0.005 0.157  0.006 0.056  0.002  1531.92    52.4    9.386  722.539 -110113.094     698.85
           hogg_4  8.466    0.02  7.551    0.069  8.017  0.044 0.057   0.004 0.208     0.016 -52364.545    286.177 0.152  0.001 0.205  0.001  0.08  0.001 1921.538  10.078  -56.529  946.522  -107666.65     17.496
          ic_2395   8.49   0.006   8.41    0.002   8.27  0.061 0.005     0.0 0.024     0.004   -50739.6    385.726 0.158  0.001 0.212  0.002 0.078  0.001 1983.383   13.67     2.98  936.943 -107815.372     10.933
          ic_2488  9.169   0.197  8.205     0.02   8.69  0.107 0.056    0.01 0.081     0.003 -48189.323    629.323 0.167  0.002 0.223  0.003 0.084  0.001 2070.484  20.791   18.541  972.517 -107771.179     32.288
          ic_2581  8.078   0.003  8.038    0.008  8.638  0.015 0.002   0.001 0.028     0.005  -48499.33     86.871 0.166    0.0 0.222    0.0 0.082    0.0 2056.644   2.664    9.386  968.416 -107683.985      12.47
          ic_2714  8.578    0.03  7.932    0.009  8.258  0.019 0.039   0.001 0.087     0.013 -50819.363    121.165 0.157    0.0 0.211  0.001 0.078    0.0 1980.292   3.998   -4.353   947.26 -107806.639      9.075
          ic_4651  7.863   0.018   7.13    0.031  7.502  0.025 0.049   0.001 0.144     0.006 -55892.616    175.942 0.141  0.001  0.19  0.001 0.071    0.0 1812.074   5.631   21.297   865.34 -108037.543     14.675
       juchert_10 10.102   5.808  6.332    1.418  8.275  3.726 0.233   0.076 0.208      0.31 -50711.475  15122.013 0.157  0.084 0.213  0.114 0.082  0.073 1888.966 521.245  105.445  970.997 -105564.332   2186.493
       juchert_13  7.541   0.013  6.355    0.037  6.957  0.018 0.085   0.003 0.143     0.012 -60005.421    144.562 0.128    0.0 0.175    0.0 0.065    0.0 1682.157     4.8   68.906  766.666  -108413.62     19.999
       juchert_18 12.792   0.564  12.73    0.576  13.02  0.689 0.002   0.002 0.108     0.026 -28725.779   2370.748 0.265  0.016 0.351  0.021 0.147  0.012 2963.645  136.75    4.891 1420.907 -114019.296   1568.923
     kharchenko_1 10.922   0.097  9.179    0.079  10.06  0.081 0.086   0.003 0.138      0.01 -40882.244    394.411 0.198  0.002 0.263  0.002 0.103  0.001 2348.131  16.709  -26.553 1122.987 -108452.907     92.651
          king_23 11.554   0.207  9.416    0.151  10.51  0.166 0.102   0.007 0.437     0.022 -38760.915    757.378 0.208  0.004 0.277  0.005 0.126  0.004 2425.306  32.784   20.968 1161.136 -108567.755    202.554
       koposov_63 14.819   0.646 11.839    0.337 13.374  0.292 0.112   0.031 0.425     0.044 -27508.039    987.535 0.273  0.007 0.362  0.009 0.172  0.007 2994.526   48.24  -59.272 1462.114  -113691.39    545.212
       loden_1194  7.551   0.122   6.55    0.203  7.057  0.156 0.073    0.01  0.13     0.018 -59214.442   1214.296 0.131  0.003 0.178  0.004 0.066  0.002 1708.826   37.11   71.979  790.425 -108390.089     151.96
         loden_46  8.439   0.038  6.293     0.02  7.385   0.01 0.146   0.004 0.127     0.012 -56739.877     73.203 0.138    0.0 0.187    0.0 0.069    0.0 1755.823   0.578   61.194  815.507 -107261.962     66.698
