# Orbital parameters
# Apo    : Apocenter of the orbit
# Peri   : Pericenter of the orbit
# rE     : Guiding radius
# Ecc    : Eccentricity of the orbit 
# Max_Z  : Maximum vertical height
# Energy : Total energy
# Tr     : Radial period
# Tp     : Azimuthal period
# Tz     : Vertical period
# Lz     : Z-component of the angular momentum
# L      : Angular momentum
# Jacobi : Jacobi integral 
#
#
             NAME    Apo Apo_std   Peri Peri_std     rE rE_std   Ecc Ecc_std Max_Z Max_z_std     Energy Energy_std    Tr Tr_std    Tp Tp_std    Tz Tz_std       Lz  Lz_std        L    L_std      Jacobi Jacobi_std
         basel_18  7.659   0.068  7.488    0.061  6.776  0.108 0.011   0.001 0.042     0.007 -61466.954    891.238 0.124  0.002 0.171  0.003 0.061  0.001 1627.534  27.897   18.651  763.767  -108302.15     89.399
           bdsb96  9.199   0.053  9.178     0.05  9.485  0.274 0.001   0.001 0.022     0.003 -43784.449   1428.433 0.185  0.006 0.246  0.008 0.096  0.004 2240.225  53.538   94.018  1031.81 -108256.303    125.035
      berkeley_20 16.597   0.303 13.792    0.823 15.209   0.51 0.092   0.025 2.578     0.146 -21764.045   1468.218 0.315  0.012 0.422  0.016 0.327  0.017 3289.714 111.845  460.212 1542.612 -116385.484   1769.863
      berkeley_21  14.34   0.218 12.312    0.341  13.33  0.267 0.076   0.009 0.227     0.052 -27656.938    905.341 0.272  0.006  0.36  0.008 0.157  0.006 3011.483  55.793   40.123 1424.522 -114320.033    702.837
      berkeley_22  16.21   0.314 12.146    0.439 14.228   0.36 0.144   0.011 1.077     0.092 -24722.044   1131.845 0.292  0.008 0.389  0.011 0.235  0.012 3125.177  77.029  169.809 1477.529 -114659.826   1094.686
      berkeley_23 13.656   0.206 11.723    0.236 12.709  0.209 0.076   0.006 0.536     0.036 -29833.026    753.299 0.258  0.005 0.342  0.006 0.172  0.006 2879.279  42.212    70.74 1368.059 -112684.341    465.898
      berkeley_24 14.447   0.544 12.388    0.202 13.429  0.353 0.077   0.014 0.807     0.152 -27320.522   1182.871 0.274  0.008 0.364  0.011 0.204  0.014 3015.298  63.978   -2.514 1501.039 -114084.865    668.414
      berkeley_25 13.509   0.297 10.915    0.791 12.238  0.451 0.106   0.034 1.021     0.055 -31573.377   1699.013 0.247   0.01 0.329  0.014 0.193  0.013  2755.12  104.69  203.776  1266.29 -110848.376   1340.654
      berkeley_28 12.299   0.231 10.923    0.277 11.619  0.239  0.06   0.008 0.172     0.028 -33994.681    965.731 0.233  0.005 0.309  0.007 0.126  0.005 2674.812  49.204   62.425 1251.918 -110957.795    453.081
      berkeley_29 16.445   0.477 13.231    0.749 14.859  0.511 0.107   0.026 1.181     0.081 -22790.121   1511.365 0.307  0.012 0.409  0.016 0.258  0.016 3269.927 109.678   25.115 1598.454 -116950.881   1674.027
      berkeley_30 12.275   0.184 11.282    0.211 11.784   0.18 0.042   0.007 0.262     0.019 -33333.509    715.028 0.237  0.004 0.314  0.005 0.135  0.003 2709.864  36.866  -37.471 1301.675 -111323.015    347.939
      berkeley_31 14.312    0.11 11.409    0.446 12.892  0.231 0.112   0.019 0.641     0.058 -29177.281    819.528 0.262  0.005 0.348  0.007 0.181  0.007 2895.264  56.411  -42.029 1408.308 -112494.231    811.363
      berkeley_32 11.925   0.352  7.606    0.595  9.852  0.124 0.221    0.05 0.303     0.009 -41907.793    613.338 0.192  0.003 0.258  0.003 0.106  0.002 2212.037  67.353   29.875 1050.873 -105672.066   1423.568
      berkeley_33 12.766   0.513 11.908    0.335 12.347  0.416 0.036   0.009 0.365     0.032 -31162.236   1551.221  0.25  0.009 0.331  0.013 0.152  0.009 2822.679  81.879   62.341 1334.159 -112391.669    805.965
      berkeley_34 15.675   0.992 13.484    0.338 14.605  0.644 0.075   0.023  0.78     0.235 -23555.628   1951.867 0.301  0.015   0.4   0.02 0.225  0.027 3249.915 114.492  288.852 1466.886 -117048.253   1353.179
      berkeley_35 13.486   0.162 10.127     0.24 11.848  0.177 0.143    0.01 0.525     0.013 -33080.235    697.506 0.238  0.004 0.316  0.005 0.152  0.004 2672.076  39.284   12.888 1282.864 -109973.294    449.364
      berkeley_36 11.168   0.113 10.892    0.156 11.029  0.119 0.014   0.006 0.227     0.039 -36452.733    512.881  0.22  0.003 0.291  0.004 0.122  0.003 2561.652  24.442  124.173 1172.093 -110160.155    192.149
      berkeley_37 12.729   0.256 11.464    0.257 12.112   0.25 0.053   0.005 0.503     0.023 -32052.447    955.031 0.244  0.006 0.324  0.008 0.159  0.006 2767.714  50.254  -10.299 1335.178 -111697.753    492.147
      berkeley_39 11.911   0.064  8.598    0.157 10.315  0.086 0.162   0.009 1.175     0.065 -39669.485    405.252 0.203  0.002 0.273  0.003  0.16  0.004 2319.741  21.931  328.268 1046.861 -106438.768    260.249
      berkeley_72 14.774   0.497 13.208    0.353 13.976  0.402 0.056    0.01 0.587     0.108 -25521.751   1285.948 0.287  0.009  0.38  0.012 0.198  0.015 3135.409  77.191   32.085 1533.924 -115788.539    938.574
      berkeley_73 15.608   0.978 13.074    0.723 14.369  0.833 0.091   0.013 1.189     0.188 -24279.585   2548.806 0.295  0.019 0.394  0.026 0.252  0.028 3183.948 157.898  170.118 1531.504 -115892.009   2002.408
      berkeley_75 14.389   0.179 11.021    0.507 12.755  0.312 0.132   0.019 1.478      0.05 -29666.217    1115.13 0.259  0.007 0.346  0.009 0.226  0.009 2823.568  72.536   298.29 1283.279 -110923.321    982.438
      berkeley_77  11.49   0.248  9.801    0.363 10.659  0.303  0.08   0.008 0.376     0.033 -38086.942    1355.17 0.211  0.007 0.281  0.009 0.125  0.007 2467.382  63.685   42.171 1173.751 -109094.113    479.203
      berkeley_78 12.258   0.089  9.313    0.149  10.83  0.096 0.137   0.008   0.8     0.019 -37322.679    423.258 0.215  0.002 0.287  0.003 0.152  0.003  2460.14  22.182  -47.176 1211.346 -108106.899    234.868
           bh_111  7.941   0.023  6.907    0.049  7.431  0.018  0.07   0.005 0.122     0.009 -56402.532    127.625 0.139    0.0 0.188    0.0  0.07    0.0 1792.874   4.921   16.525  849.674 -107999.269     26.739
           bh_132  7.553   0.046  7.174    0.073  7.365  0.057 0.026   0.003 0.035     0.005 -56887.404    422.603 0.138  0.001 0.186  0.002 0.067  0.001 1786.549  13.033    10.65  838.571 -108302.178      47.83
           bh_150  6.784   0.068  6.723     0.07  6.758  0.135 0.005   0.002 0.046     0.007 -61618.711   1112.154 0.124  0.003  0.17  0.004 0.061  0.001 1650.281  30.809    1.129  782.924 -109105.413    225.739
           bh_151  6.988   0.031  6.976    0.031  6.752   0.08 0.001     0.0 0.053     0.006 -61666.364    658.946 0.124  0.002  0.17  0.002 0.061  0.001 1646.928  19.175   14.327  775.223 -109062.798    107.809
            bh_19 10.026   0.131  7.566    0.288  8.817  0.206  0.14   0.012 0.032     0.007 -47450.655   1181.396  0.17  0.005 0.227  0.006 0.084  0.002 2066.933  49.559   -0.286   977.66 -106936.195    246.024
           bh_200  8.713   0.226  6.021     0.08  7.392  0.154 0.183   0.007 0.038     0.002 -56687.334    1130.24 0.138  0.003 0.188  0.004 0.068  0.002 1738.069  29.842    3.615   820.99 -106714.701    275.614
           bh_202  7.354    0.05  6.091    0.049   6.73  0.048 0.094   0.002  0.07     0.002 -61848.737    400.568 0.124  0.001 0.169  0.001 0.061    0.0 1630.267  11.169    9.133  769.772 -108760.301      80.87
           bh_205  6.926   0.047   6.87    0.048   6.95  0.069 0.004     0.0 0.066     0.001 -60061.252    551.493 0.128  0.002 0.175  0.002 0.063  0.001 1686.777    15.8  -17.129  804.272 -108599.251     98.957
           bh_211  7.877   0.142  6.668    0.059  7.279  0.089 0.083   0.008 0.048     0.005 -57519.674    664.737 0.136  0.002 0.184  0.002 0.067  0.001 1757.601  18.362   -9.556  834.689 -108088.968    145.868
           bh_217  6.427   0.042  5.806    0.076   6.12  0.056 0.051   0.004 0.042     0.007 -67256.033    531.101  0.11  0.001 0.153  0.001 0.054  0.001 1498.854  13.743    6.867  709.045 -110387.214    136.311
           bh_221  7.448   0.031  7.332    0.031  7.618  0.047 0.008     0.0 0.089     0.005  -55070.03    329.956 0.143  0.001 0.193  0.001 0.071  0.001 1830.764  10.103   28.963  861.145 -107753.509     42.248
            bh_23  8.469   0.002  8.341    0.026  8.351   0.04 0.008   0.002 0.046     0.005 -50235.229    245.295 0.159  0.001 0.214  0.001 0.079    0.0  2003.16   8.811   -5.974  952.178 -107881.868      8.575
            bh_37    9.2   0.111  7.911    0.333  8.563   0.22 0.075   0.015 0.066     0.009 -48947.208   1298.624 0.164  0.005  0.22  0.006 0.082  0.003 2038.885  50.476   13.029  962.242 -107612.354      155.1
            bh_55 10.607   0.281  9.413    0.118 10.022  0.199  0.06   0.007 0.323     0.026 -41069.188    967.362 0.197  0.004 0.262  0.006 0.113  0.004 2342.876  38.898   90.194 1093.897 -108497.007     153.41
            bh_56  8.476   0.009  8.466    0.005   8.35  0.068 0.001     0.0 0.051     0.001 -50243.747    423.494 0.159  0.002 0.214  0.002  0.08  0.001 2002.554   15.14  -16.424  958.529 -107870.919     12.983
