# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
            bh_84  17.87   0.63 -228.12     0.69   2.47   1.38   -14.32    1.464    1
            bh_85  60.84   1.16 -233.17     1.74  20.44   2.87   39.789    2.733    1
            bh_87 -12.93   1.67 -258.63     1.64  -6.35   0.77   -8.714    0.803    0
            bh_92  20.29   0.16 -223.16     0.17   3.63   0.75   -4.197    0.769    1
        bochum_11  47.69   0.47 -190.06     0.47  -6.38   1.15   -12.71    1.141    1
        bochum_13 -20.76   3.65 -246.59      1.3   2.89   1.15    1.521    3.587    1
         bochum_4   35.0   0.19 -236.62     0.54   -2.4   0.71   -0.774    0.541    1
         bochum_6  67.53    0.8 -222.77     1.13  -1.64   1.28   13.444    1.144    1
     coin-gaia_25 -18.94    0.0 -247.15      0.4   0.59   0.41   -34.93    0.087    2
     coin-gaia_26   5.95   1.14  -237.9      0.6   0.03   0.55   -14.18    1.139    1
     coin-gaia_27  12.93   5.21 -232.91     1.09  -0.65   0.89   -8.903    5.081    3
     coin-gaia_28  38.21    2.6 -237.71     1.15  -3.89   1.01    10.78    2.582    0
     coin-gaia_41  27.99  12.57 -226.39     2.07  -8.79   1.15    6.167   13.085    9
    collinder_106  39.29  15.01 -243.18     5.86   -0.6   1.26   11.126   13.272    0
    collinder_107  70.68  12.64 -230.46     5.15   0.39   1.25   40.137   11.354    5
    collinder_110  38.15   0.21 -222.56     0.99 -13.26   1.09   -7.842    0.464   49
    collinder_115  45.33   7.21 -231.44      3.3  -6.01   0.82    5.139    6.608    0
    collinder_185  59.22  18.89 -209.88     16.5  -4.91   0.59   10.474    7.858    0
    collinder_197  20.84    0.5  -236.4     0.55  -0.25   1.12   -4.403     1.07    2
    collinder_220 -12.19   0.13 -253.99     0.13 -10.51   0.95    3.535    0.978    1
    collinder_258  -28.0   0.18 -258.95     0.29   1.15   0.88    2.728    0.519    1
    collinder_261 -24.72   1.85 -244.37     1.87 -30.42   1.84   -5.958    1.832   35
    collinder_268 -34.35    0.0 -251.14     0.31  12.39   0.83   -7.759    0.784    2
    collinder_269 -30.22  12.36 -255.67    11.03  -4.46   1.25   -3.949    5.484    3
    collinder_271 -32.71   0.75 -244.99     0.77   0.71   0.68   -3.982    0.771    1
    collinder_272   -4.6   5.99  -236.1      5.4  -3.18    1.0  -28.611    2.745    2
    collinder_277 -27.28   0.52 -235.23     0.56  -5.68   0.78   26.243     0.59   14
    collinder_292 -32.04   0.24 -250.13     0.47   7.03   0.58   -4.933    0.483    0
    collinder_307 -42.81   0.71 -252.18     0.82  -4.33   0.86   11.362    0.746    1
    collinder_338 -23.33   1.87 -254.76      0.5  -0.95   0.45    9.762    1.861    5
     collinder_74  20.18   0.39  -226.7     0.82   4.54   0.89  -14.338    0.455    3
     collinder_95  15.35   2.77 -236.85     1.28  -5.45   0.76   -6.773    2.585    2
       czernik_23   12.7   2.04 -230.67     1.03  -5.47   1.01    1.082     2.02    3
       czernik_24  21.52   0.48 -208.02     1.98 -12.92    2.3   -5.038    0.517    0
       czernik_25  42.79   2.17  -240.5     1.08   2.62   0.89   11.121    2.042    1
       czernik_27  41.33   3.23 -211.77     1.86 -11.12   2.08  -19.702    3.127    0
       czernik_29   88.9   0.54 -211.83     1.51  -0.64   1.84   18.478     1.16    1
       czernik_30  82.07   0.73 -202.01     2.48  -1.61   2.78  -13.596    1.445    0
       czernik_31 103.03   0.79 -207.67     1.06   5.14   1.39   39.696    1.062    1
       czernik_32  74.65   1.48 -214.98     1.49 -12.47   1.23    7.679    1.349    1
           dbsb_3  41.07  16.18 -258.11    10.33  -2.57   2.77   -9.263   12.615    1
          dbsb_43  -0.66   0.22 -249.23     0.46  -1.59   1.26  -18.513     1.33    1
             dc_5  -4.22   0.66 -243.74     0.75   -2.6   1.61  -20.026    1.809    0
       eso_092_05   57.4   3.38 -224.26     6.99   9.87   8.49  -48.894    5.931    0
       eso_130_06  -5.68  18.39 -238.77    16.46  -2.91   1.08    7.392    7.128    1
       eso_130_08  -13.4   0.19 -247.95      0.3  -4.41   0.62  -10.599     0.57    1
       eso_130_13  -9.19  36.34 -236.99    36.31  -2.74   2.08  -30.706    8.887    0
       eso_166_04  16.76   0.28 -234.79     0.29   4.01   0.49     -0.3    0.493    1
       eso_211_03   64.1   0.66 -226.03     1.32 -13.87   2.42   20.068    2.094    1
       eso_211_09  52.08   0.43 -286.29     4.33 -10.14   5.72  -22.639    3.772    1
       eso_226_06 -18.55   0.07 -221.75     0.86    0.0   1.06  -12.529    0.653    2
       eso_311_21  79.59   0.28 -245.41      2.0  10.73   2.92   37.486    2.569    1
       eso_312_04  73.94    0.0 -221.04     1.35   2.65   2.33    7.067    1.896    2
       eso_368_11  22.47   0.75 -237.99     0.76   9.31   0.67  -31.217     0.79    1
       eso_368_14  45.62   0.92 -244.04     1.09   6.87   1.44   -7.096    1.149    1
       eso_371_25  48.91   0.41 -225.13     1.97  -5.54   2.85  -42.417    2.197    1
       eso_518_03  22.42   0.23 -246.18      0.6 -15.81   0.61  -43.552     0.28    9
       eso_559_13  48.61   0.85 -228.59     0.96   1.66    0.9   -8.575    0.978    1
       ferrero_11  21.28   2.84 -235.17     1.26 -12.95   0.59   -8.513     2.55    3
         fsr_0850   18.6   2.43 -224.47      0.7   4.34    0.8    3.164    2.486    3
         fsr_0852 -10.02   0.27 -231.16     0.87  -0.42   0.93  -26.619    0.271    1
         fsr_0866   68.2   3.13 -240.61     1.27  30.08   1.48   49.101    3.081    1
         fsr_0883  15.24   0.52 -230.69     0.91   6.61   1.02   -6.184    0.514    3
         fsr_0893  39.17   0.18 -224.38     0.69  -6.54   0.72   17.848    0.213    7
         fsr_0904  12.12    1.7 -243.33     1.05  -1.28   1.46   -8.958     1.76    5
         fsr_0905   4.09   0.16 -222.97     0.62   7.29   0.58  -18.746    0.211    1
         fsr_0921  29.57   0.64 -229.29     1.68  -2.08   1.92    1.744    0.706    0
         fsr_0923  43.83   0.14 -242.46     0.73  10.56   0.72   22.603     0.21    2
         fsr_0935  31.06   0.69 -233.67     0.77    3.3   0.56    2.046    0.699    1
         fsr_0937  18.78   1.29 -240.39     2.05   12.9   2.23  -18.222    1.271    2
         fsr_0941  37.05  17.74 -238.93      3.6  21.54   1.76    3.929    17.68    0
         fsr_0942  31.88   0.32 -248.76     1.46   0.19   1.46    2.515    0.423    1
         fsr_0948   53.7   4.23 -242.22     1.66   6.98   1.37   20.514     4.17    1
         fsr_0951  45.01   2.04  -240.0      0.8   9.28   0.73   20.516    1.986    5
         fsr_0953  14.02   2.45 -216.89     1.41 -11.87   1.45  -22.343     2.49    0
         fsr_0974  52.54   0.18 -236.32     0.86   0.77   1.09   17.542    0.298    2
         fsr_0977  23.72   0.52 -228.12     0.83   6.81    0.8  -10.612    0.567    3
         fsr_0979  28.12   1.26 -219.92      1.1  -2.43   1.19   -9.414    1.272    3
         fsr_1025  81.36   3.91 -213.15     3.69  11.12   3.18   18.392    3.898    1
         fsr_1051  37.17   0.91 -214.12     1.38 -12.51   1.23  -13.022    1.003    1
         fsr_1063  59.76    1.2 -210.58     0.99  -4.24   0.86    6.581    1.127    1
         fsr_1083  98.55   3.76 -215.89     2.33  17.59   2.11    33.36     3.49    2
