# RV   : Radial velocity
# Vphi : Velocity in galactocentric phi coordinate
# Vz   : Velocity in galactocentric z coordinate
# Vrho : Velocity in galactocentric r coordinate
# N_rv : Number of member stars with radial velocity estimation
#
             NAME     RV RV_std    Vphi Vphi_std     Vz Vz_std     Vrho Vrho_std N_rv
         ngc_2264  22.54   0.26 -226.67     1.39 -13.32   1.38   -9.676    0.555    2
         ngc_2266  37.89   0.69  -233.3     0.97  -1.09   1.02   17.684    0.717    0
         ngc_2269  49.78   0.33 -231.56     0.78  -5.59   0.94   10.494    0.456    1
         ngc_2286  35.63   2.58 -220.15     1.47   1.21   0.95  -16.501    2.264    2
         ngc_2287  23.37   0.12 -237.68     0.36 -12.26   0.55  -11.594    0.433   28
         ngc_2301  26.52   0.31 -233.38     0.59  -1.64   0.65   -3.682    0.445    7
         ngc_2302  38.54   2.62 -230.96     1.56  -2.77   0.62    1.477    2.177    0
         ngc_2304  53.42   1.05 -215.28     0.99    4.4   0.91   13.605    1.034    1
         ngc_2309  55.64   0.64 -215.69     0.97  -3.85   0.96   -4.317    0.789    1
         ngc_2311  82.72  20.39 -218.55    10.54  -0.23    1.5   37.064    16.86    0
         ngc_2318   8.48   0.13 -240.07     0.69  -8.82    0.9   -34.89    0.674    2
         ngc_2323   5.61   0.61 -246.78     0.81    2.8   1.04  -25.022    0.745    7
         ngc_2324  41.74   1.92 -230.62     1.44   3.21   1.43  -19.894    1.831    7
         ngc_2335  55.62   0.28 -214.78     0.62  -1.09   0.71    4.029    0.533    1
         ngc_2343  15.73   0.03 -239.54     0.39   7.67   0.58  -19.874    0.363    2
         ngc_2345  63.27   2.43 -224.22     1.57   -1.0    0.9   10.188    2.012    5
         ngc_2353  14.12   3.68 -246.33     2.47   4.03   0.67  -18.579    2.906    0
         ngc_2354  34.44   0.12 -234.24      0.4   -6.9   0.61   -6.326    0.514   33
         ngc_2355  36.37   0.26  -242.1     0.66 -15.89   0.74   13.743    0.354    6
         ngc_2358  27.57    0.6 -234.08     0.53   2.29   0.39   -8.641    0.536    2
         ngc_2360  27.86   0.07 -247.33     0.55  21.35   0.76    3.431    0.525   23
         ngc_2362  28.86   5.65 -242.11     4.57  -2.05   1.07   -5.132    3.621    1
         ngc_2367  79.24   0.24 -209.59     0.97  -0.64   1.17   21.686    1.074    1
         ngc_2374  53.72   0.45 -225.13     0.53 -13.35   0.62   14.767    0.494    1
         ngc_2383   71.9   0.55 -224.88     1.04  -3.93    1.3    3.312    0.979    3
         ngc_2396   6.68   0.18 -247.24     0.74  -2.12   0.97  -32.324    0.644    1
         ngc_2401   77.8  16.96 -229.82     9.21   2.61   1.53    8.594   14.281    0
         ngc_2414 194.97   3.02 -168.18     2.03   1.77   1.33    97.87    2.628    1
         ngc_2420  74.78   0.09 -216.67     0.93  13.02   0.94   43.744    0.426   14
         ngc_2421  93.02    0.8 -216.41     0.89  -6.79   0.98   38.199    0.846    1
         ngc_2422  36.14   0.46 -230.46     0.51  -3.36   0.63    9.884    0.502   49
         ngc_2423  19.11   0.39 -228.15     0.56  -1.87   0.63  -25.599    0.601   31
         ngc_2425 103.13   0.96 -217.86     1.25 -17.33   1.37    45.43    1.116    6
         ngc_2428  52.84   0.37 -228.04     0.61  -1.04   0.82   13.581    0.613    4
         ngc_2432  51.63   0.37 -219.69     0.55  10.64   0.69   -2.888    0.584    7
         ngc_2437  49.09   0.54 -225.53     0.75 -13.47   0.99    3.417    0.776   13
         ngc_2439  68.22    0.0 -229.48     0.74  -4.56   1.11    3.489    0.792    2
         ngc_2447  22.26   0.33 -248.21     0.49   4.96   0.67    1.107    0.534   20
         ngc_2448  29.22   0.28 -238.66      0.6  -0.56   0.88   -3.263     0.76    3
         ngc_2453  85.52   0.29 -224.45     0.96   1.84   1.16   22.685    1.013    1
         ngc_2455  69.07   0.57 -227.05     0.67  -2.07   0.65     14.5    0.639    4
         ngc_2477   8.46    0.1 -246.58     0.43  -3.66   0.99  -32.333    0.929  125
         ngc_2479  41.31   0.16 -231.07     0.42 -11.01   0.58    0.859     0.45   12
         ngc_2482  38.89   0.27  -232.6     0.41  -8.89   0.53    1.781    0.496    2
         ngc_2489  38.46   0.19 -229.48     0.63  -2.19   0.98  -12.829    0.934    6
         ngc_2506  85.06   1.41 -246.99     1.41   19.3   1.61    41.94    1.498   34
         ngc_2509  60.83   0.24 -216.51     0.55  -8.66   0.72   -2.631    0.588   25
         ngc_2516  24.24   0.07 -227.06     0.22   2.77   0.74   -0.147     0.76  142
         ngc_2527  39.99   0.25 -228.16     0.42   6.42   0.58     14.9    0.547   37
         ngc_2533   34.8   0.29 -259.59     0.54   8.96   0.65    6.148    0.598    3
         ngc_2539   29.3   0.13 -229.43     0.47  -0.58   0.64  -14.427    0.536   14
         ngc_2546  15.52   0.66 -243.62     0.64   2.72   0.43   -9.695    0.475    5
         ngc_2547  13.05   0.16 -242.15     0.21  -3.45   0.54    -5.96     0.48   20
         ngc_2548  12.34   2.18 -246.23     1.56   8.63   0.88  -13.397    1.581   16
         ngc_2567  36.55   0.11 -229.71     0.31   1.58   0.51   -9.608    0.471    5
         ngc_2580  67.39   1.63 -214.74     1.41  -2.74   0.98  -13.845    1.284    4
         ngc_2587   45.8    1.9  -250.7      1.7 -10.22   1.29    7.025    1.595    2
         ngc_2627  28.33   0.43 -235.66     0.52   9.43    0.7  -15.529    0.654   15
         ngc_2635  73.25   0.64 -210.77     0.89  -0.69   1.25  -14.163    0.996    3
         ngc_2658  52.93   1.32 -221.17     1.27   3.94   1.06  -20.101    1.219    4
         ngc_2659  16.55   1.53 -249.36     1.46  -2.71   0.89    2.142    0.953    1
         ngc_2660  22.47   0.27 -242.56     0.53  19.46   1.24   -9.098    1.203    8
         ngc_2669  21.83   0.11 -231.06     0.16   3.37   0.63   -9.061    0.614    2
         ngc_2670   5.15   3.43 -251.68     3.45  -6.02   0.69  -11.128    0.986    1
         ngc_2671   6.35   1.25 -244.56     1.26   3.94   0.99  -37.662    1.011    5
         ngc_2682  34.18   0.14 -229.54     0.55 -10.66   0.71   24.888    0.491   55
         ngc_2818  21.14   0.29 -256.53     0.53    9.5   0.94   -0.807     0.87   16
         ngc_2925   3.69   2.73 -246.12     2.74   0.95   0.48    1.446    0.489    6
         ngc_2972  20.99   0.93 -229.27     0.93  -5.35   0.59  -15.996    0.613    1
         ngc_3033  27.56   0.66 -220.17     0.63  -5.87   0.59    7.714    0.617    2
         ngc_3105  45.27   2.63 -222.04     2.91  -2.93   3.03    -21.4    3.051    3
         ngc_3114  -1.02   0.14 -246.24     0.19   0.89   1.04   -2.269    1.042   17
         ngc_3255  22.03   2.41 -232.21     2.37   0.19    1.6     6.85    1.631    1
         ngc_3293 -13.16   0.55  -252.6     0.57  -1.36   1.07    9.187    1.107    1
         ngc_3324   9.41   8.71 -230.32     8.92  -1.34   1.23   -1.844    1.326    0
         ngc_3330  26.84   0.63 -214.51     0.62   0.06   0.78    3.043    0.775    1
         ngc_3496   9.56    0.2 -224.77     0.22   0.71   0.97     4.53    0.831   21
         ngc_3572   0.92   0.29 -232.69     0.32   0.99    1.1   -9.728    1.074    0
         ngc_3590   9.04   4.01 -223.82     4.03  -7.71   1.11  -15.029    1.206    0
         ngc_3680   1.41   0.14 -239.89     0.29   1.61   0.88   -6.119    0.656   34
         ngc_3766 -16.18   0.59 -247.52     0.58  -1.42   0.91   -4.494    0.801    3
         ngc_3960 -22.53   0.15 -251.26     0.25   8.24   0.83   -2.617    0.991   15
         ngc_4052  -2.79   0.31 -226.67     0.34  -6.58    0.9   -6.108    0.758    8
         ngc_4103 -23.34  11.05 -252.14    10.63   -1.1   0.87   -6.883    2.951    0
         ngc_4337 -17.26   0.29  -233.0     0.35  12.53   0.95   22.662    0.793   17
         ngc_4349 -11.94   0.09  -235.0     0.34  -2.29   1.04    4.347    1.011   11
         ngc_4439 -26.19   6.28 -250.27     6.04  -3.27   0.86    2.852    2.054    1
         ngc_4463  84.21  11.41 -153.25    10.93  -1.82   0.82  -47.268     3.92    1
         ngc_4609 -25.22   0.29 -260.78     0.41   1.11   0.64   -7.977    0.717    0
         ngc_4755   8.42   5.22 -220.72     4.95  -1.49   1.37  -27.673    2.282    2
         ngc_4815 -28.11   1.09 -245.25     1.09  -0.97   1.06   -8.573     1.07   18
         ngc_4852   0.39   5.22 -226.79     4.74   2.49   0.73   -1.769     2.42    1
         ngc_5168 -10.24  12.89 -229.51    12.28  -2.15   1.09  -29.506    4.668    5
         ngc_5269 -36.91   0.28 -260.09     0.41   0.36    0.6   -4.083    0.577    2
         ngc_5281  -19.1   0.16 -244.25     0.44  -2.61   0.78  -10.207    0.761    1
         ngc_5288 -23.86   0.28  -244.8     0.42   -2.4   0.69  -22.024    0.678    2
         ngc_5316 -13.68    1.5 -237.42      1.3   7.75    0.7   -2.996    1.022    3
         ngc_5381 -38.62   0.47 -246.18     0.58  -5.55   0.77    10.06    0.714   11
         ngc_5460   5.46   5.05 -229.29      3.7   4.22    1.2  -12.329    3.298    5
         ngc_5662 -21.07   0.24 -243.84      0.5  -8.84   0.56    9.129    0.422    4
         ngc_5715 -26.16   0.47 -245.54     0.66    0.9   1.05   -10.54    0.751    4
         ngc_5749 -18.04   0.17 -249.03     0.57  -1.82   1.13   -8.106    0.504    1
         ngc_5764 -32.52   0.28 -245.64     0.65  -0.55   0.84    -6.57    0.729    4
         ngc_5822 -28.71   0.14  -243.9     0.68    1.2   0.81   17.317    0.554   61
         ngc_5823 -45.81   5.24 -257.52     4.03   3.32   0.87    8.507    3.488    5
         ngc_5925 -22.72   13.0 -234.75     8.53   -4.4   0.78    6.834     9.61   10
         ngc_5999 -30.78   0.48 -220.61      0.8  -5.47   1.07    0.446    0.829    5
         ngc_6005 -22.65   0.75 -220.71     0.76   5.06   0.77   -0.962     0.73   13
         ngc_6025  19.61    1.5 -227.06     1.06   4.08   0.53  -30.995    1.187    5
         ngc_6031 -33.39   0.24 -247.95     0.81   2.24   0.91    3.466    0.641    1
         ngc_6067 -38.01    0.5 -248.88     0.83   4.06   0.98     0.76    0.756   17
         ngc_6087   0.82   3.24 -239.83      1.9   4.47   0.68   -21.34    2.494    4
         ngc_6124 -20.42   0.28 -254.45     0.81   1.44   0.83    2.907    0.415   48
         ngc_6134 -25.39   0.11 -255.68     0.75 -16.12   0.91    0.008    0.457   47
         ngc_6152  -35.7   0.32 -235.62     0.58  -1.75   0.64   15.553    0.406    6
         ngc_6167 -20.15   2.19 -246.89     1.32   -0.9   0.94   -4.837    1.959    5
         ngc_6192  -7.71   0.19 -259.67     0.92  -2.42   1.07  -24.593     0.47    5
         ngc_6193 -76.36   12.8 -274.71     6.07 -10.78   1.64    46.81   11.608    3
         ngc_6208 -32.11   0.24 -258.23     0.59   9.38   0.66    3.696      0.4   35
         ngc_6216 -42.15  10.71  -242.7     4.81   1.23   1.07    12.37    9.448    3
         ngc_6231 -19.87  30.43 -244.69    10.76   0.62   1.21    -3.59   28.712    3
         ngc_6242  -0.91   7.98 -251.66     2.43  -1.39   1.04  -21.973    7.649    2
         ngc_6253 -28.48   0.19 -218.35     0.79  13.15   0.86   15.578    0.451   28
         ngc_6259 -32.12    1.2 -235.73     1.19  -1.57   1.28    4.188    1.242   21
         ngc_6268 -14.41   0.24 -255.09     0.67  -1.93   0.72   -10.76    0.326    5
         ngc_6281  -5.05   0.39 -242.88     0.59   4.78   0.56   -7.335    0.387   35
         ngc_6318 -27.89   0.24 -233.18     1.06  -1.22   1.04    3.774    0.404    1
         ngc_6322 -44.41  15.47 -254.97     4.66   2.34   1.22   24.924   14.809    0
         ngc_6383 -54.67   2.08 -256.47     1.05  -9.83   1.12   40.348    2.133    3
         ngc_6396 -13.48    0.4 -233.72     1.12   0.67   1.18    -3.74     0.43    1
         ngc_6400 -13.06   0.66 -243.66     0.68  -1.72   0.69   -1.208    0.665    1
         ngc_6404  10.12   0.26 -245.09     1.18   1.51   1.11  -27.363    0.291    8
         ngc_6405  -7.42   0.41 -240.45     0.69   3.21   0.65   -3.713    0.395   41
         ngc_6416 -22.43  10.65 -238.53      1.0  10.05   0.81   10.204   10.852    1
         ngc_6425  -3.35    0.7  -254.8     0.51 -12.07   0.61   -8.463    0.696    3
         ngc_6444  -25.4   0.32 -243.28     0.64  12.18   0.62    9.357    0.328    1
         ngc_6451  -9.18   0.39 -238.42     0.98   0.81   0.94   -2.454      0.4    1
        pismis_12  33.39   1.92 -228.94      1.8  -2.86    0.8   14.002    0.918    6
        pismis_15  34.22   0.94 -220.53     0.93  -1.87   0.65   -5.703    0.693    4
        pismis_16   0.42   4.54  -249.9     4.48  -2.21   1.77   -6.391    1.873    0
        pismis_18 -24.85   0.89 -238.31     0.85  -5.85   0.75   -4.173    0.841   10
         pismis_2  58.99   1.69 -229.35      1.7  -7.27   1.72   24.746    1.733    1
        pismis_20 -17.59    2.1 -215.56     1.88   2.23   1.16  -18.214    1.514    1
        pismis_21 -40.92   0.69  -229.6     0.82  -5.06   0.99     2.37    0.906    0
        pismis_27  40.44   0.87  -231.7     1.82  -2.48   1.47   19.361    0.921    1
         pismis_3  30.12   1.25 -249.76     1.24   8.72   1.23   17.996    1.225   34
         pismis_4   5.86    5.9 -251.16     5.54  -3.72   0.47   -1.042    1.252    5
         pismis_7   74.4   0.86 -214.73     1.34   -7.6   1.83   -1.701    1.591    3
       platais_10 -16.85   0.85 -243.07     1.17   1.82   0.64   21.615    1.154    5
       ruprecht_1  12.51   1.75 -238.53     1.16   0.39   0.72  -32.772    1.479    2
      ruprecht_10  33.94   0.73 -230.71     0.59   -1.3   0.39  -23.628    0.651    0
     ruprecht_100 -10.88   0.74 -228.23     0.76  -0.28   0.96   19.267    0.975    2
     ruprecht_101 -14.31   0.89 -229.45     0.93  -6.03   1.16   31.444    1.052    3
     ruprecht_102 -30.34   0.86 -257.39     0.93   3.76   1.02  -31.881    1.137    2
     ruprecht_105  -4.33   0.56 -232.48     0.57   4.23   0.58  -12.306    0.479    3
     ruprecht_107 -46.94    0.3  -252.2     0.36   -6.3   1.26   -5.547    0.878    1
     ruprecht_111 -34.51   0.17 -240.49     0.48  -9.86   0.71   23.788    0.505   10
     ruprecht_112 -63.81   0.61 -260.87     0.69  -7.64   0.94   20.279    0.794    8
     ruprecht_115 -40.39   0.53 -224.06     0.76   4.98   0.78   20.614    0.642    2
     ruprecht_117 -41.94    0.0 -253.23     0.71  -6.03    0.9  -11.908    0.579    2
     ruprecht_119 -39.38   0.39 -246.38     0.57  -3.38   0.61    7.651    0.492    1
     ruprecht_121 -52.31   1.25 -253.82     0.89   0.15    0.8   21.921    1.184    9
     ruprecht_126  -8.18  15.42 -211.43     2.67 -11.04   1.39  -10.131   15.008    3
     ruprecht_128 -39.79   0.79 -255.79     0.93  -8.99   0.91   23.571    0.785    6
     ruprecht_130 -41.84   0.38 -238.48     0.82   -6.9   0.92   30.027     0.39    1
     ruprecht_151  26.47   4.99 -249.17     3.84   -2.4   1.86    1.596    3.615    0
      ruprecht_16  52.22   0.27 -240.83     0.81  -3.33   0.94    1.227    0.714    1
     ruprecht_161  29.54   9.41 -214.89     8.94   -7.2   1.04    2.633    1.633    3
     ruprecht_164  -15.7  27.37 -242.51    26.45  -6.05   1.08   -1.158    1.198    0
     ruprecht_167 -28.64   0.12 -233.16     0.52  -5.47   0.67   22.153    0.617    5
     ruprecht_176  -52.2   0.26 -242.97     0.68   4.39   0.81   13.573    0.572    4
      ruprecht_18  31.59   0.21 -230.13     0.69   6.04   0.86  -31.131     0.77    4
      ruprecht_23  59.77   1.31 -222.34     1.37  -7.89   1.28   -3.887    1.418    4
      ruprecht_27  37.21   0.41 -222.98     0.51  -1.52    0.5  -24.542    0.576    1
      ruprecht_28  89.55   1.33 -229.79     1.31  -6.13   1.35   27.591    1.282    2
      ruprecht_29  39.84    7.7 -232.04      5.7   -3.8   0.43  -15.118    5.255    0
      ruprecht_33  48.03    0.0 -215.16     0.37  -3.55   0.58  -20.899    0.421    3
      ruprecht_34  42.17    0.0  -231.3     0.68  -8.13   0.92  -19.065     0.67    2
      ruprecht_35  91.27   0.31  -209.8     0.86   -3.5   1.01   19.246    1.013    0
      ruprecht_36   41.9   0.31 -227.68      0.6 -14.14   0.82  -20.851    0.741    0
      ruprecht_41  78.54   0.24 -238.29     1.71   0.95    1.8    19.38    1.619    3
      ruprecht_42  90.67   1.15 -218.96     1.42  -0.66   1.62     5.74    1.347    1
      ruprecht_43 103.56   1.11 -220.81     1.47   2.32   1.34   25.174      1.5    1
      ruprecht_45  97.45   0.34 -235.24     1.05   3.72   1.33   37.339    0.838    4
      ruprecht_47   74.2   1.78 -215.69     1.43   -2.7   0.74    2.737    1.309    0
      ruprecht_50  51.08   0.36 -219.05     0.42   5.02   0.57  -11.497    0.491    0
      ruprecht_54  53.72   1.23 -249.41     1.49  -2.36   1.81    -8.97    1.581    2
      ruprecht_58  35.17   0.65 -231.49     0.81 -11.43    1.0  -31.687    0.903    1
      ruprecht_60  53.24   0.93 -248.59     1.15   3.38   1.51   22.467    1.434    1
      ruprecht_61   42.7    0.9 -234.23     1.12  10.71   1.39   -7.148    1.314    1
      ruprecht_63  31.94   1.15 -233.53     1.16   2.86    1.1  -31.031     1.17    1
      ruprecht_66  36.97   2.34 -242.29     2.15  -1.35    1.5  -20.167    1.772    3
      ruprecht_68  50.62   1.01 -235.77     1.04  30.69   1.28   10.153    1.252    7
      ruprecht_71  38.73   0.94 -223.89     0.95  -3.44    0.5    3.993     0.59    0
      ruprecht_75  -2.18   1.37 -270.69     1.41  -5.32   1.22   14.492    1.263    3
      ruprecht_78  56.97    0.0 -226.36     1.87  -2.69   3.26   -9.563    2.714    2
      ruprecht_79  29.81   0.75 -223.43     0.78  -4.85   1.22  -16.284    1.189    2
       ruprecht_8  24.24   1.03 -229.26     2.26  -6.73   2.84  -28.613    1.988    2
      ruprecht_82   2.08   0.25 -248.82     0.26  -0.73   0.71    3.329    0.688    2
      ruprecht_83  25.69    0.0 -223.84     0.31  -3.23   1.27  -19.007    1.346    2
      ruprecht_84  -8.63   0.46 -250.85     0.47  -2.88   0.88    3.351    0.839    1
      ruprecht_85  36.31   5.24  -215.8     5.29    6.7   1.76  -15.659    2.353    8
      ruprecht_91   0.74   0.54 -238.54     0.56  -6.96   0.68   11.652    0.682    4
      ruprecht_93  -24.4   1.49  -258.6     1.46  10.88   0.72   -0.712    0.666    2
      ruprecht_94 -11.38   2.58 -240.94     2.51  -4.82   0.78   -9.389    0.834    1
      ruprecht_96 -14.05   3.85 -238.99     3.72   0.75   0.85  -20.908    0.881    0
      ruprecht_97   5.36   0.19 -215.43     0.19  -6.62    0.9   -8.782    0.729    1
          sai_108  19.35   1.02 -235.91      1.0   0.44   1.07   -8.687    1.053    2
          sai_109  82.33   2.07 -210.24     2.24   7.46   2.67   20.137    2.388    1
          sai_113  24.74   1.02 -222.11     1.04  -3.29   1.83   -1.792    1.647    1
          sai_116 -14.37   0.84 -236.47     0.82  -0.92   0.97   13.841    1.543    4
           sai_72  46.79   3.26 -231.15     2.15   1.99   1.78  -10.192    3.095    1
           sai_81  56.39   0.53 -239.61     1.16   3.43   2.12   -6.952    1.152    1
           sai_86  60.97   0.98 -221.69     1.17  -9.65   1.47   -3.126    1.352    1
           sai_91  46.89   0.46 -226.63     0.65   -8.3   1.26    0.924    1.142    1
           sai_94  71.51   0.56 -219.36     3.14  -3.48    6.6   20.501    5.266    1
         saurer_2  84.59   1.89 -256.88     2.93  12.92   3.65   30.364    2.983    1
       schuster_1  12.51   3.82 -511.01    13.86 -10.53  16.07    6.204    8.025    1
        sigma_ori  30.56   0.17 -236.94     1.05   0.26   1.03    9.572    0.611    2
 skiff_j0614+12.9  46.32   1.12 -210.78     2.39    3.5   2.36    7.387    1.222    2
 skiff_j0619+18.5  11.47   0.26 -243.13     0.42  -0.29    0.5    -9.42    0.273    0
         stock_16 -38.11    2.6 -242.53     2.59    3.3   1.25     1.61     1.26    0
      teutsch_103  18.46   1.08 -238.39     1.18  -3.48   1.88  -10.931    1.719    1
      teutsch_106   5.62   3.68 -254.78     3.36  -10.8   2.51    -5.37    2.693    2
       teutsch_12  51.63   0.54 -230.94      1.4   -8.1   1.56   15.977     0.62    0
     teutsch_143a  19.84   1.77  -211.8     1.77   6.21   1.26  -14.406    1.299    2
       teutsch_31   8.96   0.34 -228.71     0.39  -2.02   0.88   -4.026    1.013    1
       teutsch_44  50.63   2.54 -212.25     2.67  -7.96   2.81  -16.832    2.983    1
       teutsch_49  45.98    0.0 -218.27     0.71   3.41   0.93   -8.737    0.745    2
       teutsch_51   14.8   2.29 -242.39     1.61  12.67   1.85   -0.114    2.347    0
       teutsch_61  33.65   1.04 -258.12      1.3    1.5    1.0   -7.973    1.216    1
       teutsch_66  27.35   2.11 -226.07     2.03  -0.29   1.19  -19.433    1.285    1
       teutsch_80 -23.47   0.27 -223.05     0.64   0.06   0.91    4.877    0.848    3
       teutsch_84   0.49   20.5 -233.74      7.1   11.8   1.68  -24.141   19.453    0
       tombaugh_1  82.77    0.4 -229.34     0.68  -9.46   0.75   36.938    0.628    8
       tombaugh_2 122.72   0.52 -221.32     3.79  -0.25   3.87    12.98     1.97    2
      trumpler_11  14.47   1.63 -231.76     1.61 -15.57    1.1    9.803    1.038    1
      trumpler_12  24.71   1.05 -223.66     1.08   -0.6   1.27   20.906    1.222    2
      trumpler_13   9.52   0.63 -242.12     0.73   4.62   1.47   22.441    1.473    5
      trumpler_15   11.5  10.16 -226.27     9.99  -3.47   1.35  -10.914    1.323    0
      trumpler_16  -5.22   2.36 -243.11     2.33  -1.43   1.41   -1.921     1.46    0
      trumpler_17 105.27   5.48 -131.15     5.51   8.15   0.85  -28.063    0.891    1
      trumpler_19 -26.38   1.29 -262.51     1.29 -14.23   1.09  -70.239    1.191   27
      trumpler_20 -39.85   0.18 -251.52     0.26   3.91   1.25    7.175    1.153   46
      trumpler_22 -43.03   1.03 -249.19     1.01   2.24   0.77    7.037    0.867    3
      trumpler_23 -63.75   1.57 -239.57     1.37  -0.47   1.04   36.842    1.409   14
      trumpler_25 -28.88   8.16 -243.65     2.21  -5.71    1.1    6.583    8.014   15
      trumpler_26  -7.57   0.15 -232.75     0.56   0.74   0.56   -4.902    0.154    4
      trumpler_28 -44.02   10.7 -239.13     1.23   2.74   0.85   31.729   11.196    0
      trumpler_29 -23.99   0.15 -244.57     0.66  -1.99    0.7    6.337     0.21    1
      trumpler_30 -18.36   0.73 -245.68     0.75  -3.79   0.79    5.683    0.737    4
       trumpler_5  49.57   0.17 -242.18     1.55   2.45    1.7   13.008    0.522   14
           ubc_12  33.24   2.79 -236.21     2.19   6.93   2.13   14.389    2.294    1
          ubc_200   0.17   0.44 -226.25     0.88   -6.0   0.94  -20.417    0.474    7
          ubc_203  43.53   0.66 -229.78      0.8   0.82    0.9   10.579    0.676    5
          ubc_204  45.78   0.39 -230.08      1.4   8.67   1.38   -0.503    0.563    1
          ubc_207  29.03   0.34  -239.1     0.64  -0.15   0.67    9.124    0.465   15
          ubc_212  41.69    7.7 -240.96     3.36   2.38   0.98   -2.493    7.305    0
          ubc_215   1.18   0.55 -235.48     0.57  -2.41   0.53  -40.948    0.588    4
          ubc_217  61.41    1.4  -247.2     1.34  -4.26    1.2   23.046    1.334    1
          ubc_218  37.33   1.96 -239.79     1.33  -0.57   1.04  -12.217    1.722    0
          ubc_220   65.4   0.49 -223.57     0.55   -0.8    0.6    1.459     0.56    0
          ubc_221  34.95   0.08 -248.98     0.56  12.34   0.73    -9.05    0.498    2
          ubc_225  59.61   0.48 -250.23     0.92  -2.97   1.35   21.045    0.821    3
          ubc_228  88.51    0.0 -206.57     1.79    0.2   2.69   19.314    1.871    2
          ubc_229  47.11   8.31 -239.46     6.29  -2.21   0.68     0.94    5.669    4
          ubc_230   42.1   0.14 -238.79     0.81   -0.8   1.19   -0.563    0.971    1
          ubc_232  48.28   0.05 -226.33     0.75 -12.68   0.97    -17.0    0.807    2
          ubc_233  24.67   0.31  -232.8      0.5   1.71   0.57  -39.394    0.623    1
          ubc_237  41.02   0.33 -226.77     0.52  -1.53   0.72  -10.988    0.693    1
          ubc_239  34.77   0.18 -233.01      0.4  -8.69   0.66  -13.169    0.562    1
          ubc_241  51.11   0.72 -245.82     1.13   1.54    1.3   -5.371    1.178    0
          ubc_243   16.8   0.34 -244.33     0.43  -5.38   0.68  -13.792    0.675    1
          ubc_246  24.92   1.23 -234.38     1.19  -6.98   0.73  -13.953    0.834    8
          ubc_252  22.16   1.04 -231.96     1.06  -6.89   1.19  -35.687    1.183    3
          ubc_253  32.43   0.39 -218.68     0.38   0.13   0.47    4.272    0.484    1
          ubc_254    9.3    0.0 -240.79     0.08   6.27   0.77   -0.783    0.764    2
          ubc_255 -11.97   0.75 -263.29     1.15   0.42    3.9  -15.716    4.011   16
          ubc_258  -7.41   3.44 -247.67     3.37   3.02    0.7    7.947    0.667    0
          ubc_259   9.33   0.33 -230.03     0.33   3.53   0.56  -13.106    0.552    0
          ubc_260  13.26   2.95 -232.09     2.79   3.81   0.89   -1.485    0.825    9
          ubc_261  17.65   3.11 -221.73     3.11  -0.72   1.05  -10.355    1.082    0
          ubc_262    6.9   0.39 -229.89     0.39   2.34   0.83  -12.955    0.868    1
          ubc_264   7.01   0.85 -228.49     0.86   4.95   0.71  -10.737     0.67    3
          ubc_268   1.54   0.49 -230.42     0.49  -3.34   0.83   -9.711    0.827    3
          ubc_270  -21.9   0.86 -254.61     0.87  -4.61    0.8    -8.75    0.589    0
          ubc_275 -15.13   0.28 -242.94      0.3    9.7   0.98  -16.213    0.914    1
          ubc_277  -17.9   0.14 -250.06      0.2    4.4   0.63   -4.635     0.63    1
          ubc_279  -8.22   0.44  -240.0     0.47   6.72   0.54   -0.207    0.553    1
          ubc_282  -13.8   0.75  -236.5     0.73  -0.53   0.71   -8.956    0.674    1
          ubc_284 -39.32   0.45 -264.68     0.49 -11.81   0.76    5.408    0.753   11
          ubc_286 -11.53   0.25 -236.74     0.33  -1.17   0.64   -9.895    0.615    1
          ubc_290 -23.26   0.38  -250.5     0.43   3.77   0.64   -5.239    0.539    2
          ubc_293   44.3   1.47 -182.55     1.38  -2.27   0.73  -44.717    0.889    1
          ubc_294 -23.78   0.37 -236.03     0.49   0.42   0.54   16.228    0.552    9
          ubc_295  -8.87   0.56 -236.42     0.57   3.84   0.64  -16.614    0.571    3
          ubc_297 -44.06   1.41 -231.94     1.26  -4.97   0.86   26.006    0.958    1
          ubc_298 -42.74   0.11 -240.95     0.54  -8.08   0.97   13.187    0.807    2
          ubc_299 -47.27   0.53 -257.37     0.64   6.45   0.85  -14.988    0.825    1
          ubc_300 -10.69   0.43 -237.19     0.53   5.56   0.69  -21.815    0.598    1
          ubc_302 -18.28   0.45 -239.86     0.55  -3.68   0.57     0.02    0.532    1
          ubc_303 -49.23   0.13 -254.11     0.43  -5.78   0.54   18.376    0.492    1
          ubc_307 -15.89   0.23 -229.04     0.62  -0.37   0.86  -26.444    0.646    4
          ubc_310 -28.79    0.9 -245.36     0.81  -4.22   0.73  -22.723    0.866   11
          ubc_312 -60.06   0.62 -266.79     0.85  -7.24   0.93    6.762    0.802    5
          ubc_314  -31.9   0.38 -235.28     0.63 -12.47   0.71   10.301    0.492   12
          ubc_315 -38.35  13.99 -233.12     7.11   0.85   0.93   13.381   11.944    3
          ubc_316 -24.57   0.25 -233.47     0.54   8.56   0.54    3.698    0.351    3
          ubc_318 -61.36   0.34 -255.04     0.73  -0.41   0.81   16.668    0.557    0
          ubc_319 -14.15   0.44 -242.64     0.51  -0.44    0.5   -7.679     0.46    1
          ubc_320 -43.11   0.33 -256.21     0.86   5.26   0.92    1.637    0.545    0
