             NAME       GLON       GLAT     r_cl r_c_mean r_c_median r_c_mode r_c_16th r_c_84th  r_c_std r_t_mean r_t_median r_t_mode r_t_16th r_t_84th  r_t_std ell_mean ell_median ell_mode ell_16th ell_84th  ell_std theta_mean theta_median theta_mode theta_16th theta_84th theta_std   CI n_memb_k n_memb  a_f      M_mean    M_median      M_mode      M_16th      M_84th       M_std   z_mean z_median   z_mode   z_16th   z_84th   z_std   a_mean a_median  a_mode  a_16th   a_84th   a_std bf_mean bf_median bf_mode bf_16th bf_84th  bf_std Av_mean Av_median Av_mode Av_16th Av_84th  Av_std  dm_mean dm_median  dm_mode  dm_16th  dm_84th  dm_std    pmRA pmRA_std    pmDE pmDE_std         Xgc   Xgc_std         Ygc   Ygc_std        Zgc  Zgc_std        Rgc   Rgc_std  lkl N_cl    t_rlx
----------------- ---------- ---------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- ---------- ------------ ---------- ---------- ---------- --------- ---- -------- ------ ---- ----------- ----------- ----------- ----------- ----------- ----------- -------- -------- -------- -------- -------- ------- -------- -------- ------- ------- -------- ------- ------- --------- ------- ------- ------- ------- ------- --------- ------- ------- ------- ------- -------- --------- -------- -------- -------- ------- ------- -------- ------- -------- ----------- --------- ----------- --------- ---------- -------- ---------- --------- ---- ---- --------
           bh_151    308.672      0.596 0.014599 0.007708   0.006996 0.004896 0.003908 0.011592 0.003895 0.018981   0.018523 0.015899 0.013946  0.02454 0.004812 0.397609   0.416418 0.456427 0.180256 0.589559  0.18878   0.744931          nan   1.268599        nan        nan  1.045982 0.69       31     29  1.0  1532.82971  1527.96573  1520.16506  1177.69128   1889.5819    316.4114 -0.20491  0.59684  0.16789  0.33803  0.85786 0.25919  6.65129  6.61075 6.58608 6.56186  6.79928 0.10043  0.5407      0.55 0.55856  0.4875     0.6 0.05595 4.80523   4.82784 4.84889 4.75368 4.85892 0.07294 12.16726  12.16224 12.12186 12.09288 12.24325 0.07048   -5.86     0.14  -1.816    0.165  -5499.5477  936.2557  -3548.7777 1168.9585     65.299  12.3965   6652.563  164.7465 0.29   89    5.265
            bh_19    249.881     -0.022 0.097847 0.016029   0.014864 0.013486  0.01058 0.021266 0.006073 0.160229    0.16361 0.173399 0.135852 0.184532 0.023328 0.357874   0.371364  0.41075 0.195798 0.511051  0.15024  -0.055275          nan  -0.038572        nan        nan  0.306892 0.71      102     96  1.0  1071.43865  1075.24395  1078.22614   933.08019   1194.7755   132.93647 -1.11605   -0.822 -1.08971 -0.95117  -0.7126 0.10993  8.75538  8.76918 8.78851 8.66282  8.82424 0.09057 0.49222   0.49485 0.49547 0.45361 0.52577 0.03413 2.68483   2.70003 2.71137 2.61101  2.7501 0.07912 12.48136  12.45902 12.43267 12.36403 12.60287 0.12236  -2.875    0.077    3.59    0.074  -9935.1154  146.7396  -4350.9961  400.9218    30.1673   3.6042 10846.1331  288.8434 1.24   97   37.983
           bh_200    341.153      0.283 0.134821 0.033509   0.031537  0.02933  0.02493 0.041489 0.010203    0.185   0.183351 0.179709 0.140501 0.231891 0.041422 0.315338   0.326771 0.351019   0.1815  0.44315 0.126842   0.682232          nan   0.694153        nan        nan  0.324147 0.68      159    154  1.0  1420.04207  1393.64783  1350.29902   1253.9229  1599.54637     179.746 -0.00797 -0.60633  0.07062 -0.63534 -0.29028 0.24118  8.22103  8.23536 8.27356 8.03992   8.3859 0.16561 0.46279   0.46386 0.46808 0.43373 0.48795  0.0265 2.63059   2.63305 2.64397 2.54566 2.70728 0.08215 11.70063  11.71318 11.72851 11.59236 11.80522 0.11221   -0.08    0.086  -1.181    0.086  -6141.9261  121.4058   -750.1895   41.8184    31.0019    3.503  6187.2235  115.4194  1.7  174   51.662
           bh_202    344.259      1.598 0.238598 0.086498     0.0838 0.079728 0.071206 0.101777 0.016587 0.349667   0.348997 0.347556 0.314954 0.385581  0.03589  0.11207   0.102752 0.049341 0.029518 0.194212 0.076701    0.30918          nan   0.440426        nan        nan  0.608514 0.66      467    495  1.0  2435.70621  2397.53799  2349.24926  2218.98341  2673.71615   216.71597  0.09714 -0.13849  0.14692 -0.15474   0.2954 0.19583  8.81073  8.80076 8.79947  8.7965   8.8405 0.02651 0.43692    0.4375 0.43806  0.4212  0.4538 0.01708 1.77245   1.75324 1.74362 1.73128 1.84869  0.0514 10.98938  10.98852 10.99026 10.95865 11.01293 0.03935  -1.863    0.103  -3.792    0.104  -6675.3884   56.3518   -467.9836   15.9963    69.3677   3.3405  6692.1992    55.127 1.86  374   91.525
           bh_205    344.632      1.632 0.178657  0.21302   0.212304 0.212074 0.161777 0.264596 0.048734 0.299678    0.30055 0.301644 0.266688 0.334147 0.031026 0.514628   0.520472 0.533845 0.444792 0.585151   0.0714  -0.250534          nan  -0.253025        nan        nan  0.090317 0.66      228    222  1.0   814.47936   799.31685   770.91496   575.31539   1039.6038   217.75884 -0.47236 -0.35444  -0.5819 -0.41724 -0.30676 0.16142  6.45411  6.39222 6.37701 6.34836  6.64639 0.12406 0.45064   0.44898 0.44871 0.42857  0.4723 0.02179 1.50576   1.50003 1.49065 1.44652 1.56378 0.06626 10.93185   10.9298 10.92654 10.87923 10.99009 0.06976  -0.124    0.165  -1.046    0.139   -6739.119   82.2894   -438.8848   22.7858     68.967   3.6257  6753.5646    80.656 1.84  343  109.493
           bh_211     344.95      0.456 0.227737 0.222323   0.217928 0.199475 0.155064 0.292172 0.062932 0.373786   0.370527 0.361014 0.339401 0.411765 0.034969 0.379374   0.384118  0.39473  0.29369  0.46674 0.087218  -0.314089          nan  -0.314029        nan        nan  0.146054 0.66      321    316  1.0  1026.16612  1003.83855   983.88292   886.37866  1159.03055   143.75519  0.10337 -0.00343  0.12623 -0.17309  0.29656 0.24846  8.99841  8.99874 8.95579 8.94926  9.04787  0.0458 0.42134   0.42073 0.41418 0.39634 0.44512  0.0231  2.0199   2.00384 1.94704 1.91244  2.1215 0.11596 10.80929  10.81458 10.83904 10.70758  10.8918 0.08687  -0.704    0.107  -1.926    0.105  -6656.9631   64.8029   -452.2309   18.1001    35.3264   4.0568  6672.2721   63.4848 1.42  169   77.502
           bh_217    346.781      -1.51 0.093175 0.034575   0.031388 0.028248  0.02318 0.045969 0.013447 0.131973   0.131749 0.130172 0.099462 0.165679 0.029366 0.381406   0.399446 0.438956 0.247863 0.506768 0.129011   0.233903          nan   0.261538        nan        nan  0.196659 0.67      135    127  1.0  2406.48293  2362.72351  2325.62515  2188.44368  2642.18613   211.48624  0.15112  0.14241  0.13701  0.03167  0.16968 0.06349  8.03571  8.00414 7.98915 7.95161  8.10874 0.08327 0.45982   0.46188 0.46293 0.43498  0.4843 0.02468 3.89568   3.90091 3.91122 3.84656 3.93301  0.0411 11.58805   11.5923  11.5958 11.55209 11.61937 0.04024   -0.69    0.142  -1.838    0.113  -5334.9841  414.3279   -709.1494   97.6537   -64.5748  13.4566  5381.7751  397.0769 1.02  230   48.581
           bh_221    353.972      3.014 0.466234 0.181196   0.175187 0.167507 0.147325 0.214398 0.037387 0.721505   0.718658 0.707789   0.6228  0.82371 0.094447 0.451987   0.455568 0.459438 0.392044 0.513635 0.062323  -0.128286          nan  -0.130804        nan        nan  0.090066 0.54      316    314  1.0   614.77957   594.38522   573.46394   500.13569   765.79076   121.16609 -0.54471 -0.35124 -0.60583 -0.36512 -0.30976 0.06529  6.63703  6.62631 6.61853 6.60639  6.66678 0.03995 0.41013   0.40974 0.40798 0.39255  0.4298 0.01828 1.17035   1.17735 1.19473  1.1242 1.21214 0.04439 10.03815  10.03411 10.01962   9.9719 10.10895 0.06481   1.949      0.2  -1.588    0.169  -7242.4453   46.4579   -116.2301    8.0821    81.8651   5.5891  7243.7775   46.3328 1.87  360  132.821
           bh_222    349.121     -0.443 0.053791 0.010143   0.009716  0.00914 0.007506 0.012556 0.002904 0.084872   0.086279 0.091899 0.070127  0.09953 0.013849 0.218742   0.207585 0.110933 0.066521 0.373316 0.138161   0.756774          nan   1.020498        nan        nan  0.759358 0.56       97    109  1.0 60280.35832 60430.77523 60839.12554 59347.30372 61156.44076   982.46315 -0.46552  0.02335 -0.42186  -0.0248  0.32874 0.22183 10.31854 10.32037 0.31216 0.26581 10.39055 0.07631 0.38052   0.37858 0.35875 0.33025 0.43357  0.0536 3.99118    4.0074 4.01571 3.89826 4.09238 0.10977 13.57463  13.49059 13.42798 13.39232  13.8601  0.2113  -1.833    0.159  -3.166    0.143   -818.7548 1649.0837  -1452.5834  317.0601   -52.6369  19.3742  1885.7416  889.9134 0.63  213  140.931
            bh_23    253.969      -1.03 0.853146  0.35787   0.359152 0.387991 0.238602  0.47261 0.108611 0.596737   0.577265 0.553953 0.497635 0.692927 0.112354 0.218344   0.212008 0.202209 0.071705  0.36292 0.130118    0.41212          nan   0.594703        nan        nan   0.59694 0.63       44     45  1.0   141.83193   136.79191   136.57852   105.57981   170.60748    39.61545  0.08824 -0.01293  0.17423 -0.03178  0.02038 0.06759  7.41078  7.40055 7.49843 7.31455  7.50747 0.08161 0.38941   0.38739  0.3869 0.36937 0.40685 0.02015 0.25065   0.24894 0.11577 0.08348 0.42479 0.14985  8.17333   8.17494   8.1782  8.14499    8.201 0.02703  -7.073    0.186   7.403    0.208  -8461.5455    3.2531   -421.4775    5.4799    19.7794   2.6565  8472.1713    3.3264 1.35  111   28.619
           bh_245    359.419     -0.513  0.05343 0.021159   0.019228 0.015715 0.012249  0.03096 0.008972 0.060474   0.057381 0.047474  0.04178 0.080716 0.018005 0.211256   0.200596 0.173569 0.068034 0.349404 0.129341   0.627053          nan   0.925176        nan        nan  0.711345 0.59       71     74  1.0  1382.39664   697.15626   796.92628   316.05255  1451.12308  4873.12403 -0.31819  0.43923 -0.11734 -0.94283  0.64031 0.73465  8.04085  6.19317 6.08853 6.05782 10.33601 2.05201 0.51511   0.51786 0.51503 0.46429 0.57143 0.05474 3.45384   3.45013 3.37989 3.21763 3.69051 0.23493  11.7888  10.94499 10.81832  10.6712 13.85198 1.67683   -0.46    0.116  -2.263    0.118  -5138.9149  388.7365     -32.584    4.3397   -12.1452   4.8995  5139.0326  388.6916 0.65  118   20.781
            bh_37    262.345     -1.785  0.08452 0.029665   0.027584 0.025763 0.020988 0.037798 0.010172  0.10875   0.106323 0.102573 0.088769 0.129336 0.019954 0.138772   0.126214 0.062362 0.037177 0.242355 0.095368   0.204296          nan   0.463419        nan        nan  0.758075 0.53      121    130  1.0   2146.4843  2116.86211  1988.58008  1866.17656  2429.40778   294.79073 -0.49692 -0.38288 -0.67967 -0.45285 -0.22559 0.19253  8.52812  8.55738 8.55969 8.44069  8.62457 0.13137 0.43554   0.43478 0.43949 0.40373 0.47205 0.03401 3.82058   3.84851 3.85917 3.72043 3.87925 0.07804 12.40996  12.34443 12.31028  12.2496  12.5933  0.1823  -3.514    0.091   3.999    0.101  -8846.3149   45.5813  -3764.2706  340.3184   -89.3782   11.256  9613.8105  174.4543 1.16  162   64.043
            bh_54    264.468     -0.279 0.112887  0.03762    0.03219 0.026217 0.020293 0.055114 0.020417 0.155701   0.155917 0.152666 0.112411 0.200736 0.039082 0.302161    0.30709  0.34382 0.118802 0.472558 0.161078   0.424244          nan   0.473934        nan        nan  0.526258 0.61       51     49  1.0   807.59628   799.59307   733.77336   688.94674   943.46305   129.84114 -0.27735 -0.21704 -0.46559 -0.32831 -0.13189 0.15331  6.57407  6.56157 6.54066 6.49725  6.66448 0.07618 0.50745   0.50515 0.50675 0.46392 0.54639   0.043 3.23595   3.24035 3.24978 3.16589 3.30652 0.07075 11.59386  11.59573 11.60488 11.50161 11.67594 0.08803  -4.805    0.123   5.332     0.11  -8554.3134   19.0056  -2218.2774  190.4192    16.2518   3.3969  8836.1275   66.1973 1.34   97   98.447
            bh_55    261.527      3.745 0.121552  0.03113   0.028734 0.026692 0.022226 0.039503 0.010767 0.181053    0.18261 0.185054 0.142436 0.220709 0.035347 0.218031   0.214487 0.201889  0.07514 0.354183 0.126083  -0.655674          nan  -0.982347        nan        nan  0.820137 0.67      132    135  1.0  1446.67544  1420.25007  1372.47217   1236.9017  1660.99203   214.84736 -0.24929  0.03627 -0.31266 -0.34591  0.05457 0.20498  9.07195  9.08708 9.10495 9.00711  9.11992 0.05302 0.43297    0.4322 0.43013 0.40542  0.4661 0.03113 1.94784    1.9411 1.92229 1.85475 2.05943 0.09276 12.84216  12.83966 12.83456 12.74037 12.95072 0.09572  -3.966    0.087   3.136    0.082  -9022.1871   63.8384  -4571.0728  426.0686   332.6787  29.5923 10121.8467  248.0843 0.52  122   142.95
            bh_56     264.47      1.548 0.285343 0.228231   0.229869 0.235608 0.178421 0.274278 0.046877 0.313728   0.304373 0.294299 0.272106 0.355637 0.047144 0.146701    0.12947 0.067218 0.039469 0.255972 0.103212   0.387737          nan   0.954038        nan        nan  0.859815 0.48       77     83  1.0   421.78623   410.94482   387.10959   363.69653   479.86218    68.19883 -0.01199 -0.15012  0.03288  -0.1925 -0.12217 0.08068  7.00963  7.02389 7.04356 6.93324  7.07899 0.07091 0.50928   0.50777 0.50929 0.48705  0.5285  0.0212 0.89199   0.89418 0.90141  0.7968 0.98441 0.09433  9.68761   9.68529   9.6805  9.63158  9.74431   0.052  -5.515    0.163   5.429    0.168  -8425.5758     4.101   -881.4949   22.6631    51.9307   3.5177  8472.0167    5.7659 2.35  196  108.679
            bh_66      276.0     -3.013 0.062521 0.016309   0.015236 0.013861 0.011445 0.021089 0.005573 0.094943   0.095527 0.096904 0.076331 0.114253 0.017392 0.262494   0.268915 0.308741 0.107675 0.402129 0.133443  -0.904356          nan  -1.079064        nan        nan  0.551349 0.73      159    151  1.0  2865.80688   2802.5427  2720.28906  2381.88005  3369.42728   492.50369 -0.13374 -0.35404 -0.16382 -0.36554 -0.12372 0.23647  8.72093  8.70417 8.70062 8.69243  8.74995 0.05577 0.49054   0.49375 0.49765  0.4625 0.51875 0.02772 2.04751   2.07509 2.08116 1.95314 2.11128 0.09618 14.08115  14.10663 14.11885 14.00457 14.18422 0.17725  -4.172    0.078   3.639    0.059  -7340.4485   164.781  -9515.7071 1567.5703  -477.6577  82.9552 12023.4197  1109.497 1.11  166  173.104
            bh_67    273.763     -0.381  0.05642 0.013313    0.01217 0.011298 0.009016 0.017095 0.005167 0.068228   0.066237 0.062381  0.05008 0.087168 0.017607 0.170002   0.155279 0.093758 0.052175  0.29193 0.111806  -0.404253          nan  -0.757543        nan        nan  0.778046  0.6       85     92  1.0  3510.76259  3484.85473  3354.53892   2860.6435  4165.08696   637.34264 -0.26043 -0.27826 -0.08271 -0.40713 -0.07663 0.18127  8.93927  8.94842 8.95842 8.89523   8.9738 0.04339 0.49252   0.49587 0.50505 0.45455 0.52893 0.03969 3.32788   3.33751 3.46556 3.14698 3.49171 0.15809 13.66732  13.66607 13.62635 13.51643 13.81342 0.14373   -3.68    0.112   2.877    0.094  -7741.9864  143.6514    -9027.62 2187.3803   -36.1499  18.2025 11891.1995 1503.4705 1.07  124  126.934
            bh_72    275.491     -1.178 0.058878 0.020839   0.019078 0.017004 0.014162 0.027592 0.007779 0.090477   0.091139 0.090977 0.073177 0.108529  0.01598 0.157073   0.137477 0.080652  0.04315  0.27904 0.109502   0.388378          nan   0.917784        nan        nan  0.833349 0.67      126    135  1.0  2211.52948  2214.36592  2250.64339  1939.45021  2434.49457   245.12801 -1.20808 -0.80502 -1.44492 -0.92444 -0.61738 0.18058  8.68425  8.70032 8.70197 8.61165  8.74309 0.07349 0.47078   0.46809 0.46229 0.44149 0.50532 0.02943 3.06353   3.08298 3.08936 2.98681 3.10527 0.06208 12.73434  12.65684 12.63039 12.59457 12.94018 0.17344  -4.563    0.125   3.337    0.077  -7576.7528  215.7034  -7946.7421 2235.7877  -136.9373  47.5438 10978.8445 1312.2779 1.22  189   83.269
            bh_73    273.638      0.944 0.036081 0.013752   0.012796 0.010038 0.008005 0.020075 0.005692 0.034951   0.032653 0.029676 0.026084 0.044029 0.009923 0.324896   0.339468 0.368386 0.174931 0.463305 0.137711  -0.928602          nan  -1.046562        nan        nan  0.496248 0.52       64     62  1.0  4213.94957  4050.10407  3894.75481  3310.04729  5138.00383  1057.60449 -0.68476 -0.33685 -0.90653 -0.54453 -0.28127 0.22192  9.30528  9.31467 9.31788 9.24277  9.35798 0.06571 0.47762   0.47973 0.48716 0.43919 0.51351 0.03586 2.97084   3.01145 3.13313 2.69489 3.15751 0.22032  13.1783  13.13976 13.07069 13.04549   13.339 0.15032  -3.645    0.136   2.317    0.121  -7804.4838  115.4847  -8420.9446 1808.2293   163.3197  29.7853 11483.3997 1157.2166 0.69  152    33.08
            bh_78    279.186     -2.615 0.041212 0.012996   0.011366 0.009638 0.007835 0.018524 0.006019 0.045519   0.043286 0.039516 0.034814 0.056919 0.011393 0.315431   0.322223 0.338542 0.150391 0.473254 0.148611  -0.935453          nan  -1.044685        nan        nan  0.600951 0.52       75     74  1.0  2126.83172  2073.86123  1944.27969  1724.38489  2554.23722   404.16136 -0.14071  0.24269  0.16186 -0.28415  0.33026 0.29782  8.80844   8.8034 8.80217 8.75078  8.85802  0.0646 0.45604   0.45536 0.45394 0.41964 0.49107 0.03675 3.13467   3.04346 2.91893 2.87885 3.49372 0.27128 13.27226  13.28931  13.3259 13.11963 13.40681 0.13822   -3.77    0.108   2.786    0.126   -6778.811  326.4941  -9672.1206 2020.6099  -425.9096  94.7983 11819.7551 1385.3413 0.64  113   24.901
            bh_84    282.057     -2.418 0.061988 0.014794    0.01358 0.012184 0.009917  0.01898 0.005884 0.079262   0.077684 0.072883 0.059664 0.099427 0.018425 0.235419   0.234328 0.231588 0.111754 0.358791 0.115583  -0.966297          nan  -1.151817        nan        nan  0.670121 0.53      109    110  1.0  1345.53795   1348.3101  1518.44247  1069.86197  1584.96136   251.65606 -0.47774 -0.21332 -0.68186 -0.30306 -0.13085 0.15295  8.36514  8.37545  8.4345 8.26297  8.46151 0.10311 0.47639   0.47761   0.465  0.4403 0.50746 0.03431 2.90234   2.90182 2.89545 2.85063 2.95765 0.05698 12.72471  12.61203 12.56203 12.51562 13.04682 0.24541   -4.86    0.096   3.323    0.088  -7467.3252  106.1483  -4072.7674  498.0878  -150.3297  22.2438  8508.0341  128.6671 1.37  137   29.946
            bh_85    276.914      4.546 0.087427 0.015164   0.014688 0.014199 0.011894 0.018394 0.003496 0.147528   0.149644 0.156642 0.128841 0.166354 0.017376 0.156563   0.149304 0.092557 0.046913 0.262731 0.098778   0.012087          nan   0.048648        nan        nan  0.543305 0.43      150    161  1.0  4857.08915  4786.78044  4673.73743  4220.92035  5538.43618   686.70283 -0.60365 -0.25848 -0.80183 -0.35306 -0.13232 0.11428  9.62223  9.62874 9.64063 9.59988  9.64596 0.02524 0.44475   0.44571 0.45131 0.41714 0.47429 0.02961 1.38425    1.4258 1.44973 1.23656  1.4779 0.11303 13.62336  13.61445 13.60293 13.58763  13.6703 0.04283  -5.666    0.121   4.665    0.114  -7363.0764  191.5207  -8078.5233 1575.5343   669.5875 125.4634 10951.7984  954.5708 0.95  183  118.315
            bh_87    280.724      0.122 0.158305 0.064352   0.060757 0.052751 0.041151 0.089807 0.022889 0.141473   0.134189 0.127377 0.116693 0.164757 0.030094 0.282554   0.289463 0.295854 0.179625   0.3867 0.103999   0.117339          nan   0.133156        nan        nan  0.259008 0.67      196    195  1.0  1583.69219  1549.31002  1520.78984  1451.20746  1693.61313   154.67453 -0.29809 -0.39376 -0.38842 -0.48801 -0.37179 0.06022  8.21132  8.20369 8.21473 8.09745    8.313 0.14554 0.38933    0.3913 0.39197 0.36957 0.40942 0.02032 1.88438   1.88823 1.89694 1.83937 1.92336 0.04606 11.34359  11.28519 11.25638 11.21565  11.5238 0.14089  -6.328    0.095   2.662    0.084  -7917.6011   22.5809  -2233.4265  118.2865    30.5016   4.2854  8226.4487   11.3044  1.5  278   67.944
            bh_90    283.139     -1.451 0.116908 0.023108   0.022626 0.021979 0.018815 0.027336 0.004415 0.193933   0.197017 0.211768 0.165607 0.221467  0.02621 0.157665   0.145517 0.071565 0.042056 0.270375 0.105894   0.718014          nan    1.18863        nan        nan  0.917245 0.62      201    219  1.0  1460.48502  1468.22472  1493.21704  1257.75925   1643.1879   189.03403 -0.16967 -0.01783 -0.23641 -0.11335  0.03232  0.1417  8.24351  8.22292 8.16281  8.1367  8.40347  0.1285 0.45095   0.44878 0.44582 0.42927 0.47317 0.02256 1.91048   1.92445 1.93495 1.81909  1.9755 0.06996 11.86934  11.87482 11.90592   11.743 11.97442 0.10269  -5.414      0.1   2.328    0.088  -7749.8571   31.7703  -2526.5942  135.2147   -39.9414   4.9189  8151.1508   11.2661 1.56  215    48.47
            bh_92    282.988      0.431 0.060855  0.03231   0.028853 0.023995 0.019648  0.04648 0.013804 0.085139   0.084554 0.081847 0.066521 0.104744 0.017374 0.296097   0.301029 0.343411 0.117802 0.465225 0.157037   0.767039          nan   0.890324        nan        nan  0.597356 0.63       77     73  1.0   619.45068   613.26117   631.29991   515.26056   712.42207   109.67135 -0.16714 -0.19321 -0.00409 -0.40127  0.03694 0.22139  8.23135  8.24012 8.23356 8.04761  8.41342   0.178 0.48574   0.48684 0.49885 0.44737 0.52632 0.03632 1.91993   1.91804 1.88505  1.8034 2.04009 0.11195 11.88342  11.88546 11.89523 11.74743 12.01701 0.12716  -5.908    0.069    3.46    0.066  -7776.8474   35.0615  -2441.4162    152.14      44.11   2.0264  8151.1043   12.1516 1.72   77    17.68
        bochum_11    288.012     -0.878 0.038244 0.051857   0.052806 0.055057 0.040121 0.063248 0.011112  0.06812   0.069299 0.072872 0.061588 0.074551 0.006243 0.394106   0.417913 0.477115 0.176172 0.588475 0.188123   0.242665          nan   0.185386        nan        nan   0.38471 0.68       34     31  1.0  1077.24212   1060.5557   1047.8503   860.41069  1294.19526   219.24893 -0.65868 -0.23768 -0.44116 -0.37115  0.15835 0.29338  6.61494  6.65425 6.67536 6.44578  6.70671 0.12733 0.49349   0.49123 0.49044 0.45614 0.52632 0.03471 2.25558   2.23043 2.19684 2.13854 2.35677 0.13569 11.62212  11.61866 11.62629 11.51359 11.72304 0.10546  -6.349    0.109   1.816    0.116  -7591.0478    54.996  -2316.5898  170.4706    -12.565   4.6507  7935.6279    5.7559 1.13  175    83.25
        bochum_13    351.211      1.383 0.267666 0.060685   0.049608 0.040117 0.031718 0.086643 0.040107 0.441222   0.454745 0.487715 0.369248  0.51016 0.068308 0.399371   0.420608 0.461023 0.198555 0.583753 0.178387   0.187294          nan   0.164101        nan        nan  0.342907 0.85      117    109  1.0  1766.45623  1742.89403  1694.36452  1620.82707  1933.25504   165.36925    0.208  0.24556   0.2522  0.16078  0.46915 0.19633  7.01542  7.02363 7.04847 6.98924  7.05132 0.04697 0.49982       0.5 0.50029 0.47115 0.52885 0.02991  2.9754   2.97205 2.96981 2.93289 3.02302 0.04653 11.01937  11.01765 11.06414 10.95398  11.0772 0.05735  -0.276    0.148  -1.278    0.159  -6637.3109  109.1072   -263.6877    17.208    62.9967   4.7974  6642.7997  108.3341 1.57  208  173.081
         bochum_3    218.767      0.372 0.116947 0.036324   0.030615 0.026019 0.021083 0.049861 0.021088 0.185158   0.189865 0.204907 0.151456 0.219244 0.033013 0.217976   0.188875 0.110234 0.055714 0.381269 0.156434  -0.179604          nan  -0.963434        nan        nan   0.90348 0.82       65     72  1.0   486.61342   476.64108   418.09891    406.3927   565.31476    77.64005 -0.24736 -0.32203 -0.25825  -0.5189 -0.08263 0.20315  8.20713    8.198 8.17044 8.01921  8.39666 0.18092 0.37696   0.37234 0.37849 0.35106 0.40426 0.02718 0.86629   0.87065 0.90582 0.76931 0.96382  0.0931 11.75589  11.75391 11.74709 11.62919 11.89058 0.12934   -1.17     0.09  -0.194    0.078 -10198.5104  100.9837  -1491.8919   81.7653    48.5259   2.7598 10307.3343  111.6461 1.77   94   31.121
         bochum_4  232.75666   0.763657 0.108943 0.071371    0.06334 0.039796 0.027547 0.118425 0.043226 0.154421    0.15813 0.178136 0.111066 0.198147 0.039717 0.400352   0.404315 0.427088 0.146205  0.64238 0.219524   0.033655          nan  -0.218366        nan        nan  0.620571 0.79       17     17  1.0   367.72391    334.0814   304.93903   292.07865   494.56155    84.69253 -0.14111  0.20524 -0.22208  0.07881  0.39885 0.25519  8.18835  8.17404 8.18063 7.96132   8.3656 0.17762 0.41661   0.41284 0.41148  0.3945 0.44037 0.02115 0.60699   0.61062 0.61212  0.5137 0.69884 0.09249  10.4645  10.46268 10.38411 10.33199 10.58809 0.11772  -3.022    0.114   1.892    0.125  -9114.1216   44.5192  -1017.4595    58.609    46.9365   3.2234  9170.7006    50.802 1.64  110   77.428
         bochum_6    234.741     -0.224 0.171178 0.116935   0.111238 0.102584 0.071545 0.161926 0.045345 0.237411   0.235436  0.22658 0.178802 0.298857 0.053957 0.737085   0.772571 0.826364 0.604143 0.874086 0.152706   0.205317          nan   0.250314        nan        nan   0.13133 0.88      103     79  1.0  1049.91819  1023.11404   942.94821   926.55917  1177.68079   126.34621 -1.05721 -0.83851 -1.26722 -0.96281 -0.34205 0.31306  7.20254  7.19309 7.18697 7.17664  7.24917 0.04157 0.45611   0.45417 0.45238  0.4375   0.475 0.01762 2.12718   2.13299 2.13466 2.07662  2.1765 0.05502 11.81187  11.76596 11.68975 11.67533 11.93443 0.15126  -2.222    0.117   2.319    0.139 -10502.9404  387.0882  -3049.7469  550.6825      19.56   6.6165  10937.628  524.3736 1.27  240  292.164
     coin-gaia_23    182.127     -0.209 0.519046 0.144709   0.128047 0.111549 0.087198 0.197699 0.070101 0.717663   0.717878 0.707849 0.550515 0.897643 0.163053 0.383611   0.403748 0.463619 0.184348  0.56302 0.176716    0.04086          nan   0.036921        nan        nan  0.340588  0.6       68     62  1.0   314.88326   305.80447   283.71673   267.17258   375.51166    51.15533 -0.06308 -0.03934  0.01253 -0.10932  0.16597 0.13656  7.84385  7.80807 7.79724 7.69455  7.98249 0.18013 0.41635   0.41935 0.41814  0.3871 0.44086 0.02698 0.84196   0.82563 0.80621 0.71618 0.99141 0.12836  9.82914   9.83413  9.84968  9.74903  9.90627 0.07514  -0.332     0.14  -1.004    0.124  -9275.6015   29.7617    -34.7617    3.7053    26.7142   2.1418  9275.7051   29.7645 1.62   93   69.382
     coin-gaia_24    186.893      0.416 0.600136 0.220184   0.203262 0.164376 0.128568  0.32389 0.089748 0.544338   0.493861 0.442328  0.40113 0.702183 0.169209 0.154995    0.13364 0.087603 0.044726 0.269251 0.108629   0.033869          nan   0.000335        nan        nan   0.82514  0.7       71     75  1.0   336.87697   344.75619   347.81231   274.39006   396.89423    56.02445  -0.1315  0.17269 -0.18487 -0.22095  0.21145 0.20609  8.28354  8.26528 8.25773 8.11471  8.49289 0.18227 0.43959   0.43529  0.4431 0.41176 0.45882 0.02555 1.17796   1.19437 1.20043 1.07503 1.28048 0.11936  9.95448   9.95612  9.96414  9.90713 10.00091 0.04484   2.507    0.093  -2.962    0.073  -9331.8938   15.9573   -119.6227     5.171    37.2458   4.2785   9332.887   15.9756 1.75   86   76.104
