             NAME       GLON       GLAT     r_cl r_c_mean r_c_median r_c_mode r_c_16th r_c_84th  r_c_std r_t_mean r_t_median r_t_mode r_t_16th r_t_84th  r_t_std ell_mean ell_median ell_mode ell_16th ell_84th  ell_std theta_mean theta_median theta_mode theta_16th theta_84th theta_std   CI n_memb_k n_memb  a_f      M_mean    M_median      M_mode      M_16th      M_84th       M_std   z_mean z_median   z_mode   z_16th   z_84th   z_std   a_mean a_median  a_mode  a_16th   a_84th   a_std bf_mean bf_median bf_mode bf_16th bf_84th  bf_std Av_mean Av_median Av_mode Av_16th Av_84th  Av_std  dm_mean dm_median  dm_mode  dm_16th  dm_84th  dm_std    pmRA pmRA_std    pmDE pmDE_std         Xgc   Xgc_std         Ygc   Ygc_std        Zgc  Zgc_std        Rgc   Rgc_std  lkl N_cl    t_rlx
----------------- ---------- ---------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- -------- ---------- -------- -------- -------- -------- ---------- ------------ ---------- ---------- ---------- --------- ---- -------- ------ ---- ----------- ----------- ----------- ----------- ----------- ----------- -------- -------- -------- -------- -------- ------- -------- -------- ------- ------- -------- ------- ------- --------- ------- ------- ------- ------- ------- --------- ------- ------- ------- ------- -------- --------- -------- -------- -------- ------- ------- -------- ------- -------- ----------- --------- ----------- --------- ---------- -------- ---------- --------- ---- ---- --------
        alessi_60    215.188      1.944 0.109906 0.060596   0.056562 0.046551 0.036535 0.085931 0.023814 0.133123     0.1266 0.115326 0.102983 0.165643 0.031183 0.201539   0.180804 0.110833  0.05682 0.348323 0.137647   0.266502          nan   0.319067        nan        nan  0.684238 0.75       86     94  1.0   736.30193   739.50853   801.27341   615.70715   840.26829   122.70185 -0.41005 -0.27853 -0.27958 -0.49317 -0.04751 0.19989  8.62228  8.62377 8.61847 8.53766  8.71701  0.0937 0.46012   0.45714 0.45715  0.4381 0.48571  0.0255 1.02258   1.02552  1.0344 0.94082 1.10526 0.07925 12.14776  12.15356 12.19006 11.99847 12.29464 0.13556  -0.854    0.055  -0.651    0.068 -10750.5662  106.2025  -1700.5251   75.3407   133.1071    6.491 10885.0612  116.4681 1.88  105   54.273
         alessi_8    326.501      4.259 0.596963 0.276714   0.263392  0.23346 0.164193 0.388362 0.112662 0.608209   0.570829 0.507679    0.433 0.793879 0.178461 0.278536   0.268102 0.253462 0.095894 0.456361 0.165684  -0.181816          nan  -0.292726        nan        nan  0.528287 0.69       41     42  1.0    139.6872   133.42494   133.24506   109.35527   167.84839    34.55093 -0.24866 -0.25891 -0.21675  -0.3404 -0.17472 0.09262  8.36666  8.39463 8.41189 8.23325  8.48359 0.14049 0.58729   0.58929 0.58914 0.57143 0.60714  0.0257 0.54574   0.51892 0.47448 0.36736 0.75143 0.18026  9.09279   9.09358  9.09446   9.0627  9.12223 0.02881  -5.954    0.122  -5.683    0.154   -7786.791    6.6204   -364.5535    5.0054     74.529   2.3549  7795.8402    6.4454 1.46   58   41.148
alessi_teutsch_12    330.635    -10.337 0.702695  0.11323   0.094897 0.076926 0.057277 0.162808 0.071198  0.84413   0.831852 0.798144  0.55225 1.159154 0.274606  0.23789   0.215121 0.139284 0.067665 0.413929 0.162275   0.198773          nan   0.885077        nan        nan  0.845395 0.68       23     26  1.0   162.10907   151.21011   120.44011   107.53342   205.90345    58.45367  0.05937  0.44421  0.08407  0.04652  0.76671 0.40208  7.92599  7.92111   7.903  7.7647  8.09011  0.1612 0.37389   0.37705 0.35927 0.34426 0.40984 0.03737 0.57152   0.54381 0.49231 0.35289 0.80469 0.22687  8.88232   8.88267  8.88357  8.84083  8.92349 0.03827   -2.27    0.207  -8.961    0.173  -7824.0556    8.5433   -291.3331    6.4073   -82.5743   4.1538  7829.7754    8.4103 2.02   61    77.95
 alessi_teutsch_3    266.426    -12.849 1.031003 0.149989   0.141987 0.130096 0.110583 0.190519   0.0447 1.517692   1.516093  1.48409 1.215291 1.833833 0.283515 0.145866   0.132219 0.078472 0.038612 0.252319 0.099698   0.219153          nan   0.297441        nan        nan  0.709365 0.54      119    127  1.0   311.27603   307.46221   295.93522   222.12713   377.88627    72.06114 -0.40689  -0.4326 -0.35019 -0.81106  0.01437 0.35586  7.83699  7.84057 7.84979  7.7233   7.9202 0.12556 0.42421   0.42056 0.41527 0.40187  0.4486 0.02731 1.06243   1.04489 0.99969  0.9096 1.23171 0.15901  9.19572   9.19617  9.19798  9.15773  9.23387 0.03519  -5.379    0.104   8.947    0.145  -8381.9419    6.1279   -675.7204   11.5993  -127.0419   4.6558  8409.4466    6.4688 1.88  107  103.606
 alessi_teutsch_8    297.033      1.376 0.527107 0.163489   0.159127 0.153333 0.133868 0.192769 0.032301 0.693203   0.683433 0.657454 0.598807 0.790829 0.096315 0.086347   0.073128 0.040364 0.021416 0.153776  0.06427  -0.129719          nan  -0.270534        nan        nan  0.738918 0.52      304    315  1.0  1277.87243  1262.45149  1243.85832  1183.37642  1358.38657   119.97376  0.13115 -0.01338  0.05291 -0.02309  0.00047 0.02213  8.34184  8.34202 8.34099 8.29535  8.41209 0.05548 0.43195   0.43182 0.43009 0.42045 0.44318 0.01293 0.54726   0.55997 0.58413  0.4783 0.60764 0.06095  9.95813   9.96039 10.01609  9.89543 10.02461 0.05615  -6.637    0.112   1.669    0.121  -7885.9434    8.8297   -889.5529   15.4241    49.3008   3.7261  7936.0606    7.3713  2.2  355  138.732
       antalova_2    355.141      0.929 0.227803 0.047685   0.039096 0.032256 0.025681 0.067125 0.030222 0.270843    0.26321 0.243059 0.181575 0.365929 0.085901 0.243101   0.216281 0.114641 0.064462 0.426205 0.166758   0.009075          nan   0.949768        nan        nan  0.933617 0.74       33     38  1.0    299.6711   286.69976   274.65098   238.51249   355.85612    67.81134 -0.33874 -0.24981 -0.46069 -0.40255 -0.07893 0.28089  6.65478  6.66245 6.66465 6.57014  6.71717 0.07176 0.40708   0.40496 0.40483  0.3719 0.44628 0.03738 1.76695   1.78824 1.80014 1.59617 1.94532 0.16707 10.19328  10.19228 10.18595 10.07943 10.30058 0.11071   2.026      0.2  -1.548     0.18  -7196.2313   60.7161    -96.8889    5.7209    40.5109   3.4503   7197.148   60.6394 1.09  124   95.397
     arp_madore_2    248.123     -5.884 0.084344 0.054076   0.053691 0.053549 0.035208 0.072234 0.018058 0.091285   0.086995 0.081683 0.070853 0.111338 0.022142  0.40762   0.428824 0.475168 0.216982 0.587989 0.173765   0.125838          nan   0.171192        nan        nan  0.360636 0.73       40     37  1.0 11956.79725 12097.01413 10481.14839  7340.24076  16212.3312  4483.53016 -0.65841 -0.77351 -0.90009    -0.89 -0.30014 0.31575  9.60263  9.58086 9.55698 9.51444  9.70752 0.10786 0.44712   0.43902 0.44661 0.36585  0.5122 0.07602 1.77265   1.82851 1.90842 1.56277 1.94188 0.18371 15.43148  15.39782 15.36766 15.29514 15.59349  0.1499  -0.499    0.057    1.23    0.088 -13012.8592  910.2928  -11619.511 2266.0994 -1246.9231 249.3617 17490.0645 2166.0895 0.14   43  456.164
          ascc_16    201.139    -18.373 0.665083 0.621039   0.632723 0.667798 0.486173 0.750861 0.126668 0.828189   0.815498  0.79678 0.739852 0.912362 0.093301 0.268428   0.280928 0.299307 0.157445  0.37426 0.107858    0.98244          nan   1.135547        nan        nan  0.775195 0.46      180    176  1.0   221.82536   231.13982      230.95    203.3243   231.13982    13.10967 -0.64651 -0.65685 -0.64853 -0.66873 -0.64356 0.01346  6.65149  6.64889 6.64186 6.63354  6.66867 0.01982 0.29318   0.29487 0.29487  0.2906 0.29487 0.00209 0.75343   0.76492 0.78236 0.68356 0.81745  0.0722  7.66965   7.66872  7.66854  7.64177  7.69524 0.02556   1.375    0.195   0.014    0.175  -8646.1024    3.7023   -118.1865    2.3682   -80.5775   2.4669  8647.3138    3.7137 2.51  236   54.545
          ascc_21    199.938    -16.598 0.526727 0.523531   0.510609 0.448656 0.327788 0.720807  0.18372 0.871433   0.880013 0.929508 0.749891 0.993594 0.112668 0.520975   0.549512 0.594066 0.372719  0.66487  0.15413   0.839059          nan   0.908004        nan        nan  0.271352 0.68       61     55  1.0     63.4792    63.62226    63.57804    63.26334    63.73516     1.60158 -0.48177 -0.30147 -0.48588 -0.50737  -0.1526 0.14367  6.67196  6.68113 6.68618 6.64695  6.69431 0.02767 0.30989   0.30769 0.30768 0.30769 0.30769 0.00726 0.37367   0.36822 0.33036 0.26426 0.50099 0.11848  7.65891   7.65879   7.6604  7.64364   7.6732 0.01382   1.438    0.126  -0.608    0.179  -8648.4609    2.1734   -111.6639    2.6971   -69.7287   2.4317  8649.4848    2.1675 1.47  104   61.268
          ascc_29    214.743     -0.128 0.331156 0.188615   0.170632 0.137402 0.110223 0.273174 0.082867 0.478057   0.471907 0.441794 0.382771 0.581448 0.090411 0.221402   0.191239 0.112904  0.05857 0.390334 0.159614   0.282244          nan   0.758544        nan        nan  0.705655 0.65       67     74  1.0   297.74445    287.0144   286.24788   237.81279   372.68403    61.90866 -0.02953  0.07935 -0.02575 -0.00952  0.29158 0.15159  7.97743  7.92349 7.89158   7.844  8.20523 0.16551 0.40364   0.39773 0.39797 0.38636 0.42045 0.02149 0.29616   0.29211 0.28268 0.21856 0.37798 0.08352 10.02095  10.02006 10.01657   9.9625 10.08291 0.05919  -0.976    0.085  -1.026    0.091  -9173.6605   20.9696   -579.8842   15.1186    27.7041    3.633  9191.8913   21.8204 1.62   88   73.211
